"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7146839,1,1,1,2,44,5,6,5,3760333.33333333,7,6,3
7146840,1,1,1,2,30,2,6,7,2681333.33333333,4,6,3
7146840,2,1,1,1,30,5,6,11,2681333.33333333,4,6,3
7146841,1,1,1,2,47,4,6,7,1979750,2,6,3
7146842,1,1,1,1,49,6,6,7,3e+06,4,6,3
7146844,1,1,1,1,58,6,6,5,4307500,4,6,3
7146845,1,1,1,1,55,6,6,5,1592500,2,6,3
7146846,1,1,1,2,81,3,6,3,5851000,3,6,3
7146847,1,1,1,1,66,2,6,11,4770000,3,6,3
7146849,1,1,1,1,35,2,6,5,928333.333333333,4,6,3
7146850,1,1,1,1,25,2,6,5,1241333.33333333,2,6,3
7146851,1,1,1,2,46,5,6,7,4464266.66666667,3,6,3
7146852,1,1,1,1,27,2,6,4,3333450,5,6,3
7146853,1,1,1,1,42,6,6,11,6425000,2,6,4
7146854,1,1,1,1,56,5,6,11,1.2e+07,2,6,5
7146855,1,1,1,2,23,6,6,NA,5200000,2,6,5
7146857,1,1,1,1,48,6,6,9,4309000,3,6,5
7146858,1,1,1,2,53,3,6,5,2350000,1,6,5
7146859,1,1,1,1,37,2,6,11,1.6e+07,2,6,5
7146861,1,1,1,1,67,6,3,13,4833333.33333333,4,6,3
7146862,1,1,1,1,51,6,6,13,28833333.3333333,4,6,5
7146864,1,1,1,2,68,3,6,4,1695333.33333333,3,6,3
7146865,1,1,1,2,55,3,6,11,1641666.66666667,2,6,3
7146866,1,1,1,1,41,6,6,11,4306833.33333333,3,6,3
7146867,1,1,1,2,61,5,6,11,5287500,1,6,3
7146868,1,1,1,1,71,6,6,3,7033333.33333333,3,6,3
7146870,1,1,1,2,55,4,6,13,5033333.33333333,2,6,3
7146873,1,1,1,1,64,2,6,3,3672000,3,6,3
7146874,1,1,1,2,42,4,6,NA,1589666.66666667,2,6,3
7146875,1,1,1,2,58,3,6,4,745000,3,6,3
7146876,1,1,1,2,57,4,6,4,1334000,3,6,3
7146877,1,1,1,2,69,5,6,5,2030000,2,6,3
7146880,1,1,1,2,61,5,6,5,875000,1,6,3
7146881,1,1,1,1,43,6,6,11,6100000,5,6,3
7146882,1,1,1,2,72,4,6,3,4304666.66666667,2,6,3
7146883,1,1,1,2,72,3,6,3,1200000,2,6,3
7146886,1,1,1,2,53,6,6,5,3765333.33333333,5,6,3
7146887,1,1,1,2,61,6,6,5,1437500,2,6,3
7146889,1,1,1,2,63,6,6,3,4164666.66666667,4,6,3
7146890,1,1,1,2,28,2,6,9,4333333.33333333,2,6,3
7146891,1,1,1,2,47,2,6,5,1894000,3,6,3
7146892,1,1,1,2,36,6,6,11,4e+06,2,6,3
7146895,1,1,1,1,41,6,6,5,3850000,7,6,2
7146896,1,1,1,1,38,2,6,4,1693333.33333333,3,6,2
7146897,1,1,1,1,70,6,5,3,488333.333333333,3,6,2
7146899,1,1,1,2,75,3,6,3,433333.333333333,3,6,2
7146901,1,1,1,2,45,4,6,3,1219000,4,6,2
7146902,1,1,1,2,24,3,6,5,423333.333333333,4,6,2
7146903,1,1,1,1,56,2,6,3,1013000,3,6,2
7146904,1,1,1,1,53,2,6,4,906000,4,6,2
7146905,1,1,1,1,44,4,6,7,911000,3,6,2
7146906,1,1,1,2,40,5,5,5,468333.333333333,3,6,2
7146907,1,1,1,1,60,6,6,5,4284833.33333333,5,6,2
7146908,1,1,1,1,56,5,6,5,9e+05,1,6,2
7146909,1,1,1,1,64,6,6,5,1e+06,2,6,2
7146910,1,1,1,2,26,2,6,7,2904333.33333333,3,6,2
7146912,1,1,1,2,56,4,5,3,3519000,2,6,2
7146913,1,1,1,1,70,4,6,5,0,1,6,2
7146914,1,1,1,2,38,5,6,5,0,3,6,2
7146916,1,1,1,2,59,4,6,5,650000,1,6,3
7146917,1,1,1,1,31,2,6,7,5497000,5,6,2
7146918,1,1,1,2,52,6,6,4,2100000,5,6,2
7146919,1,1,1,1,38,2,6,5,1598000,2,6,1
7146921,1,1,1,1,67,6,6,1,795000,3,6,1
7146922,1,1,1,1,32,2,6,5,1475000,2,6,1
7146923,1,1,1,2,43,5,5,3,325000,3,6,1
7146924,1,1,1,1,30,6,6,5,1020000,3,6,1
7146925,1,1,1,2,26,4,6,NA,717500,3,6,1
7146926,1,1,1,2,60,5,5,4,290000,2,6,1
7146928,1,1,1,1,38,2,6,4,1475000,4,6,1
7146929,1,1,1,1,42,4,6,7,1318500,2,6,1
7146930,1,1,1,1,38,2,6,5,3420933.33333333,3,6,1
7146931,1,1,1,1,32,2,5,5,1749666.66666667,4,6,1
7146932,1,1,1,2,47,4,5,5,780000,6,6,1
7146933,1,1,1,1,25,2,6,5,920000,4,6,1
7146934,1,1,1,2,24,5,5,NA,611666.666666667,3,6,2
7146935,1,1,1,1,18,1,6,5,612500,3,6,0
7146936,1,1,1,2,85,3,6,1,1144166.66666667,5,6,2
7146938,1,1,1,2,51,4,6,1,1916000,6,6,1
7146939,1,1,1,1,58,2,6,3,8e+05,2,6,2
7146940,1,1,1,2,36,5,5,4,787000,7,6,1
7146941,1,1,1,1,55,2,6,3,605000,3,6,1
7146942,1,1,1,1,56,2,5,3,794500,3,6,1
7146943,1,1,1,2,37,4,6,4,493333.333333333,3,6,1
7146944,1,1,1,2,27,5,5,5,0,3,6,1
7146945,1,1,1,1,30,2,5,3,1290000,4,6,1
7146946,1,1,1,1,71,6,6,5,2e+06,2,6,1
7146947,1,1,1,1,23,2,5,5,1422666.66666667,4,6,1
7146948,1,1,1,1,35,2,6,5,1342500,4,6,1
7146949,1,1,1,1,28,2,6,1,875000,5,6,1
7146950,1,1,1,1,78,6,6,1,341666.666666667,2,6,1
7146951,1,1,1,1,51,2,5,12,5129000,3,6,3
7146952,1,1,1,1,47,5,6,5,6e+05,1,6,1
7146953,1,1,1,2,62,4,5,3,450000,1,6,1
7146954,1,1,1,2,56,5,6,3,150000,1,6,1
7146955,1,1,1,1,70,6,6,5,2725241.66666667,4,6,2
7146956,1,1,1,2,47,4,6,5,3965333.33333333,3,6,2
7146957,1,1,1,1,25,1,6,5,58333.3333333333,2,6,2
7146958,1,1,1,1,51,5,6,3,797500,3,6,2
7146959,1,1,1,2,55,5,6,7,1156700,1,6,2
7146960,1,1,1,1,28,2,6,3,2593666.66666667,4,6,9
7146961,1,1,1,2,41,2,6,11,4455629.33333333,2,6,1
7146962,1,1,1,1,28,1,6,7,4483333.33333333,2,6,2
7146963,1,1,1,2,38,5,6,7,1289333.33333333,2,6,2
7146964,1,1,1,2,23,5,6,9,1200000,1,6,2
7146965,1,1,1,2,53,4,6,4,3444333.33333333,4,6,2
7146966,1,1,1,1,27,2,6,NA,6440126,2,6,2
7146967,1,1,1,2,38,4,6,7,1801500,3,6,2
7146968,1,1,1,1,35,5,6,7,1013666.66666667,1,6,2
7146969,1,1,1,1,49,2,6,4,2156238,4,6,2
7146971,1,1,1,1,81,6,6,1,254166.666666667,3,6,1
7146982,1,1,1,1,51,6,6,4,1368583.33333333,4,6,1
7146983,1,1,1,1,59,5,6,4,1175000,1,6,2
7146984,1,1,1,1,39,2,6,3,2469750,5,6,2
7146985,1,1,1,1,60,4,6,3,1195026,1,6,2
7146986,1,1,1,1,50,6,6,1,2035833.33333333,2,6,2
7146987,1,1,1,1,53,6,6,3,2821020,5,6,2
7146988,1,1,1,2,53,4,6,1,1278000,2,6,2
7146989,1,1,1,1,33,5,6,NA,1285000,1,6,3
7146990,1,1,1,2,30,1,6,5,913000,2,6,2
7146992,1,1,1,1,45,4,1,NA,4560000,2,6,3
7146993,1,1,1,2,32,4,6,7,7e+05,2,6,2
7146994,1,1,1,2,59,4,6,4,1201000,6,6,3
7146995,1,1,1,1,58,4,6,5,1e+06,1,6,3
7146996,1,1,1,1,64,4,6,3,214166.666666667,2,6,3
7146997,1,1,1,1,53,5,6,9,1748333.33333333,1,6,2
7146998,1,1,1,2,57,4,6,3,650000,1,6,2
7146999,1,1,1,1,62,6,6,5,4720333.33333333,2,6,2
7147000,1,1,1,1,49,1,6,3,2540000,3,6,3
7147001,1,1,1,2,33,4,6,9,1850000,2,6,3
7147002,1,1,1,1,62,6,6,4,1654666.66666667,3,6,3
7147003,1,1,1,1,71,4,6,5,66666.6666666667,3,6,3
7147004,1,1,1,2,44,4,6,3,2446916.66666667,3,6,3
7147005,1,1,1,1,85,1,6,4,66666.6666666667,2,6,3
7147006,1,1,1,2,55,5,6,4,21033333.3333333,1,6,3
7147007,1,1,1,1,63,6,6,3,2611980,2,6,3
7147008,1,1,1,2,73,2,6,3,250000,2,6,2
7147011,1,1,1,2,60,5,6,3,350000,1,6,2
7147012,1,1,1,1,61,1,5,5,6e+05,1,6,2
7147014,1,1,1,1,46,2,6,4,1100000,2,6,2
7147015,1,1,1,2,85,3,6,1,1922333.33333333,2,6,2
7147017,1,1,1,1,77,6,6,3,2325841.66666667,3,1,1
7147018,1,1,1,2,50,5,6,3,870000,2,1,1
7147019,1,1,1,1,73,6,6,3,2044782.66666667,6,1,1
7147020,1,1,1,1,64,6,6,3,4150000,3,1,1
7147021,1,1,1,1,54,2,6,3,1188282.66666667,4,1,1
7147022,1,1,1,2,26,6,6,7,772500,2,1,1
7147023,1,1,1,2,42,4,6,5,711833.333333333,2,1,1
7147024,1,1,1,2,80,3,6,3,1128333.33333333,2,1,1
7147025,1,1,1,2,40,4,6,5,742500,4,1,1
7147026,1,1,1,1,46,2,6,5,1898782.66666667,4,1,1
7147027,1,1,1,2,43,2,6,3,630000,3,1,1
7147028,1,1,1,1,44,4,6,5,830000,2,1,1
7147029,1,1,1,1,57,6,6,3,6e+05,3,1,1
7147030,1,1,1,1,81,4,6,3,760833.333333333,1,1,3
7147031,1,1,1,2,58,4,6,4,1195750,6,1,1
7147032,1,1,1,2,48,3,6,5,513800,2,1,1
7147033,1,1,1,1,77,6,6,1,2140000,3,1,1
7147034,1,1,1,2,69,3,1,1,337500,3,1,1
7147035,1,1,1,1,24,2,6,5,785833.333333333,3,1,1
7147036,1,1,1,2,48,2,6,3,1417500,4,1,1
7147037,1,1,1,1,46,2,6,3,585000,5,1,1
7147038,1,1,1,2,44,4,6,1,1445000,5,1,1
7147039,1,1,1,2,43,6,6,5,325000,3,1,1
7147040,1,1,1,1,33,6,6,11,1450000,3,1,1
7147041,1,1,1,1,37,1,6,3,914166.666666667,2,1,1
7147042,1,1,1,1,43,6,6,4,1148500,3,1,1
7147043,1,1,1,2,37,5,6,4,487500,7,1,1
7147044,1,1,1,1,58,2,6,4,2836898.66666667,7,1,1
7147045,1,1,1,1,26,2,6,5,716000,4,1,1
7147046,1,1,1,1,57,2,6,1,550000,2,1,1
7147047,1,1,1,1,70,2,6,1,1302282.66666667,5,1,1
7147048,1,1,1,1,26,2,5,5,2235166.66666667,5,1,1
7147049,1,1,1,1,40,2,6,4,750000,5,1,1
7147050,1,1,1,1,48,2,5,3,2409033.33333333,7,1,1
7147051,1,1,1,1,20,2,6,3,926216,3,1,1
7147052,1,1,1,2,79,3,6,1,560000,3,1,1
7147053,1,1,1,1,29,2,6,3,756666.666666667,5,1,1
7147054,1,1,1,1,51,6,6,3,1393116,3,1,1
7147055,1,1,1,2,77,6,6,3,240000,2,1,1
7147057,1,1,1,2,45,4,1,5,397500,4,1,3
7147058,1,1,1,1,40,2,6,3,1938000,2,1,1
7147060,1,1,1,1,48,1,6,3,942000,4,1,8
7147061,1,1,1,1,54,2,6,3,1233116,2,1,1
7147062,1,1,1,1,27,2,6,5,1284866.66666667,3,1,1
7147063,1,1,1,1,28,2,6,3,1195616,2,1,1
7147064,1,1,1,1,36,2,6,3,1650000,2,1,1
7147065,1,1,1,1,61,6,6,5,4008333.33333333,3,1,1
7147066,1,1,1,1,45,2,6,3,2033333.33333333,3,1,1
7147067,1,1,1,1,43,2,6,4,1862500,2,1,1
7147069,1,1,1,2,48,2,6,4,750000,1,1,1
7147070,1,1,1,1,55,2,6,3,1003333.33333333,4,1,1
7147071,1,1,1,1,57,6,6,3,1458000,6,1,1
7147072,1,1,1,1,34,6,6,5,765000,4,1,1
7147073,1,1,1,1,42,2,6,3,824166.666666667,3,1,1
7147074,1,1,1,1,57,6,6,5,756666.666666667,2,1,1
7147075,1,1,1,1,49,6,6,5,680000,2,1,1
7147076,1,1,1,1,30,2,6,5,869166.666666667,4,1,1
7147077,1,1,1,1,25,2,6,7,1230616,3,1,1
7147078,1,1,1,1,17,1,6,4,810333.333333333,2,1,1
7147079,1,1,1,1,87,6,6,1,750000,2,1,1
7147080,1,1,1,1,34,6,6,5,1289666.66666667,4,1,1
7147081,1,1,1,1,33,2,6,5,472500,5,1,1
7147082,1,1,1,2,52,2,6,3,484166.666666667,2,1,1
7147083,1,1,1,2,49,4,6,5,1052648,1,1,1
7147084,1,1,1,2,74,3,6,1,1040833.33333333,2,1,1
7147085,1,1,1,1,28,6,6,NA,1116616,4,1,1
7147086,1,1,1,1,54,2,6,3,505833.333333333,3,1,1
7147087,1,1,1,2,57,3,6,5,765000,2,1,1
7147089,1,1,1,1,68,4,6,1,271000,1,1,1
7147091,1,1,1,1,58,4,6,3,291666.666666667,1,1,1
7147092,1,1,1,1,52,2,6,1,380000,4,1,0
7147093,1,1,1,1,73,4,6,3,549166.666666667,1,1,1
7147094,1,1,1,2,58,2,6,1,650000,2,1,1
7147095,1,1,1,2,54,4,6,3,590833.333333333,3,1,1
7147096,1,1,1,1,32,2,6,3,356000,5,1,1
7147097,1,1,1,1,44,2,6,1,1240416.66666667,7,1,1
7147098,1,1,1,1,33,2,6,5,618500,4,1,1
7147099,1,1,1,2,67,2,6,1,586666.666666667,4,1,1
7147100,1,1,1,1,41,2,6,3,865333.333333333,5,1,1
7147101,1,1,1,1,58,6,6,3,345000,3,1,1
7147104,1,1,1,1,54,4,6,1,441666.666666667,2,1,1
7147106,1,1,1,1,56,2,6,3,392500,4,1,1
7147107,1,1,1,1,65,2,6,1,430000,6,1,1
7147108,1,1,1,2,85,3,6,1,209166.666666667,1,1,1
7147109,1,1,1,1,61,6,6,3,240000,2,1,1
7147110,1,1,1,1,59,2,6,1,414166.666666667,4,1,1
7147111,1,1,1,1,29,2,6,5,330000,2,1,0
7147112,1,1,1,2,55,4,6,7,8e+05,2,1,3
7147114,1,1,1,1,27,2,6,4,470000,3,1,1
7147115,1,1,1,1,51,2,6,5,750000,3,1,1
7147116,1,1,1,1,29,2,6,4,580000,3,1,1
7147117,1,1,1,1,75,2,6,3,1575199.33333333,5,1,1
7147118,1,1,1,1,42,2,6,4,864416.666666667,3,1,1
7147119,1,1,1,1,40,6,6,5,850000,5,1,1
7147120,1,1,1,2,72,3,6,3,450000,6,1,1
7147121,1,1,1,2,68,4,6,1,339166.666666667,3,1,1
7147122,1,1,1,1,37,2,6,4,355000,4,1,NA
7147123,1,1,1,1,24,2,6,4,350000,2,1,1
7147124,1,1,1,1,42,2,6,1,543333.333333333,5,1,NA
7147125,1,1,1,1,59,6,6,3,4e+05,5,1,1
7147126,1,1,1,2,85,3,6,1,861666.666666667,2,1,1
7147127,1,1,1,1,65,2,6,1,1513333.33333333,7,1,1
7147128,1,1,1,2,59,3,6,3,208333.333333333,1,1,1
7147129,1,1,1,1,26,2,6,5,880000,3,1,0
7147130,1,1,1,1,49,6,6,5,855000,2,1,0
7147131,1,1,1,1,52,2,6,3,720000,2,1,0
7147132,1,1,1,1,24,2,6,5,9e+05,3,1,1
7147134,1,1,1,1,19,4,6,5,6e+05,2,1,1
7147136,1,1,1,2,67,4,6,1,479166.666666667,2,1,1
7147137,1,1,1,1,44,2,5,3,402500,4,1,1
7147138,1,1,1,2,34,2,5,7,787333.333333333,4,1,1
7147139,1,1,1,2,63,4,1,1,250000,2,1,1
7147140,1,1,1,1,62,5,1,1,564166.666666667,4,1,1
7147142,1,1,1,1,50,2,1,3,515000,5,1,1
7147143,1,1,1,2,62,3,1,1,2e+05,3,1,1
7147144,1,1,1,1,59,3,6,3,450000,1,1,1
7147145,1,1,1,2,63,3,6,7,480000,1,1,1
7147146,1,1,1,1,69,2,1,3,1373333.33333333,3,1,1
7147147,1,1,1,1,66,6,1,13,8733333.33333333,2,1,1
7147148,1,1,1,1,86,2,1,1,216666.666666667,2,1,1
7147150,1,1,1,1,50,2,1,3,988000,4,1,1
7147151,1,1,1,2,64,3,1,3,118333.333333333,1,1,NA
7147152,1,1,1,1,42,4,1,3,1e+06,1,1,1
7147153,1,1,1,1,58,2,1,1,440000,3,1,1
7147155,1,1,1,1,65,2,1,1,659333.333333333,6,1,1
7147156,1,1,1,1,23,2,1,5,460000,3,1,1
7147157,1,1,1,2,66,3,1,1,240833.333333333,2,1,9
7147158,1,1,1,1,38,2,1,5,450000,2,1,1
7147160,1,1,1,1,52,2,1,3,275000,4,1,1
7147161,1,1,1,1,70,3,6,1,0,2,1,0
7147162,1,1,1,1,86,2,1,1,2e+05,2,1,NA
7147163,1,1,1,1,62,6,1,3,490000,5,1,1
7147164,1,1,1,1,52,6,1,3,3e+05,2,1,1
7147165,1,1,1,1,73,6,1,3,1030000,4,1,1
7147166,1,1,1,1,71,6,6,1,321666.666666667,4,1,1
7147167,1,1,1,1,41,2,6,3,1750000,3,1,1
7147168,1,1,1,1,31,2,1,5,750000,2,1,1
7147169,1,1,1,1,23,2,6,3,6e+05,4,1,1
7147170,1,1,1,2,50,5,1,5,4e+05,1,1,1
7147173,1,1,1,1,84,2,1,3,186666.666666667,2,1,1
7147175,1,1,1,1,47,2,6,4,550000,2,1,1
7147176,1,1,1,1,70,4,6,1,580000,1,1,1
7147177,1,1,1,1,51,2,1,1,713333.333333333,4,1,1
7147178,1,1,1,1,72,2,1,1,560000,2,1,NA
7147179,1,1,1,1,39,2,1,NA,1620000,3,1,2
7147180,1,1,1,1,63,2,1,1,498000,3,1,1
7147182,1,1,1,1,34,2,1,11,250000,3,1,1
7147183,1,1,1,1,68,6,6,1,285000,3,1,1
7147184,1,1,1,1,49,2,5,11,5045000,4,4,1
7147185,1,1,1,2,58,4,5,11,9e+05,2,4,1
7147186,1,1,1,2,74,4,5,4,330000,3,4,1
7147187,1,1,1,1,57,6,5,5,250000,3,4,1
7147188,1,1,1,2,33,2,5,5,150000,5,4,1
7147189,1,1,1,1,64,2,5,3,2e+05,3,4,1
7147190,1,1,1,2,39,2,5,5,2e+05,2,4,1
7147191,1,1,1,2,50,2,5,1,1e+05,4,4,1
7147192,1,1,1,2,87,3,5,5,2416666.66666667,1,4,3
7147193,1,1,1,1,49,2,5,3,85000,5,4,1
7147194,1,1,1,1,31,6,5,NA,2e+05,2,4,1
7147195,1,1,1,1,26,2,5,5,240000,4,4,1
7147196,1,1,1,1,57,2,5,3,360000,8,4,1
7147197,1,1,1,2,52,2,5,5,0,1,4,1
7147198,1,1,1,2,31,2,5,11,3968100,5,4,1
7147199,1,1,1,2,68,6,5,11,2400000,2,4,1
7147200,1,1,1,2,31,2,5,5,270000,5,4,1
7147201,1,1,1,1,41,2,2,3,306666.666666667,3,4,1
7147202,1,1,1,2,24,4,5,7,150000,3,4,1
7147203,1,1,1,2,55,2,5,4,0,6,4,1
7147204,1,1,1,1,36,2,5,9,2e+05,5,4,1
7147205,1,1,1,2,49,4,5,3,2e+05,2,4,1
7147207,1,1,1,2,31,2,5,4,260000,4,4,1
7147208,1,1,1,2,33,2,5,NA,150000,4,4,1
7147209,1,1,1,2,51,4,5,11,370000,3,4,1
7147210,1,1,1,2,47,4,5,1,2e+05,4,4,1
7147211,1,1,1,2,80,6,5,1,333333.333333333,2,4,1
7147212,1,1,1,1,23,5,5,3,2e+05,2,4,1
7147213,1,1,1,2,44,2,5,11,410000,3,4,1
7147214,1,1,1,1,25,5,5,NA,2e+05,1,4,1
7147215,1,1,1,1,35,2,5,11,1140000,4,4,1
7147216,1,1,1,2,29,4,5,5,3e+05,3,4,1
7147219,1,1,1,2,41,4,5,3,1279166.66666667,4,4,1
7147220,1,1,1,2,52,2,5,NA,5e+05,3,4,1
7147221,1,1,1,2,61,4,5,3,345000,4,4,1
7147222,1,1,1,2,40,4,5,4,10000,3,4,1
7147223,1,1,1,2,32,2,5,5,510000,6,4,1
7147224,1,1,1,1,27,2,5,5,50000,6,4,1
7147225,1,1,1,2,52,2,5,5,4e+05,10,4,1
7147226,1,1,1,2,48,2,5,11,150000,4,4,1
7147227,1,1,1,1,34,2,5,11,3e+05,2,4,1
7147228,1,1,1,2,67,4,5,1,360000,5,4,1
7147229,1,1,1,2,44,4,5,5,3e+05,2,4,1
7147230,1,1,1,1,53,4,5,3,4e+05,3,4,1
7147231,1,1,1,2,64,4,5,5,3e+05,2,4,1
7147232,1,1,1,1,30,2,5,11,3525000,3,4,1
7147233,1,1,1,1,31,2,5,NA,541666.666666667,3,4,1
7147233,2,1,1,2,44,5,5,7,541666.666666667,3,4,1
7147234,1,1,1,2,29,4,5,NA,1053833.33333333,3,4,1
7147235,1,1,1,2,64,6,5,3,740000,5,4,1
7147236,1,1,1,2,70,4,5,3,275000,1,4,1
7147237,1,1,1,2,24,1,5,11,1107083.33333333,3,4,1
7147238,1,1,1,1,24,5,5,NA,66666.6666666667,1,4,1
7147239,1,1,1,2,27,2,6,5,2135000,6,9,2
7147241,1,1,1,2,24,1,6,13,3050000,8,9,1
7147242,1,1,1,2,41,6,6,10,1628000,3,9,1
7147243,1,1,1,1,40,2,6,1,1265000,6,9,1
7147245,1,1,1,1,29,2,6,5,2112000,4,9,1
7147246,1,1,1,1,49,2,6,3,308333.333333333,2,9,NA
7147247,1,1,1,2,28,4,6,5,952500,2,9,1
7147248,1,1,1,2,34,6,6,NA,1230000,4,9,1
7147249,1,1,1,2,39,4,6,5,925000,2,9,2
7147250,1,1,1,1,43,2,6,5,1530000,3,9,3
7147251,1,1,1,1,53,6,6,5,3130000,5,9,NA
7147252,1,1,1,1,34,2,6,4,816000,6,9,2
7147254,1,1,1,2,73,4,6,4,1e+06,1,9,1
7147255,1,1,1,2,47,5,6,8,1200000,1,9,2
7147257,1,1,1,1,36,2,6,4,1800000,4,9,3
7147258,1,1,1,1,44,6,6,5,2500000,4,9,2
7147259,1,1,1,1,35,2,6,9,1800000,5,9,2
7147260,1,1,1,2,46,4,6,7,1800000,2,9,2
7147261,1,1,1,1,38,2,6,5,5800000,2,9,1
7147262,1,1,1,2,39,4,6,7,2730000,5,9,2
7147263,1,1,1,1,55,6,1,5,7e+05,2,9,1
7147264,1,1,1,1,52,2,6,5,1300000,3,9,2
7147265,1,1,1,1,60,5,6,3,8e+05,1,9,2
7147266,1,1,1,1,32,2,6,5,1430000,2,9,2
7147267,1,1,1,1,47,2,6,4,1200000,4,9,2
7147269,1,1,1,2,49,1,6,5,6e+05,3,9,2
7147270,1,1,1,1,30,5,6,5,3e+05,1,9,2
7147272,1,1,1,2,39,5,6,4,7e+05,3,9,1
7147273,1,1,1,1,41,2,6,5,1950000,3,9,2
7147274,1,1,1,1,43,6,6,5,2750000,2,9,3
7147276,1,1,1,1,28,5,6,5,950000,1,9,1
7147277,1,1,1,1,62,5,6,3,8e+05,1,9,2
7147278,1,1,1,1,57,6,6,5,6712500,5,9,2
7147280,1,1,1,1,28,5,6,11,1800000,1,9,2
7147281,1,1,1,2,18,5,6,NA,33333.3333333333,1,9,3
7147282,1,1,1,2,19,1,6,5,8e+05,2,9,3
7147283,1,1,1,1,54,2,6,11,5216666.66666667,4,9,3
7147284,1,1,1,1,31,2,1,5,2600000,5,9,1
7147285,1,1,1,1,21,5,6,5,8e+05,1,9,2
7147286,1,1,1,2,20,4,6,5,6e+05,1,9,2
7147287,1,1,1,1,28,5,6,5,3e+05,1,9,2
7147288,1,1,1,2,32,5,1,5,5e+05,1,9,2
7147290,1,1,1,1,33,1,6,5,1300000,2,9,2
7147291,1,1,1,1,39,5,6,11,4e+06,1,9,3
7147292,1,1,1,2,42,2,6,7,1550000,5,9,2
7147293,1,1,1,2,23,5,6,5,750000,1,9,2
7147294,1,1,1,1,26,5,6,5,5e+05,1,9,2
7147295,1,1,1,1,41,6,1,5,1950000,3,9,3
7147297,1,1,1,2,55,5,6,13,12206606.5,4,9,3
7147298,1,1,1,2,88,5,6,4,7300000,2,9,2
7147300,1,1,1,1,23,5,6,5,8e+05,1,9,3
7147301,1,1,1,2,57,5,6,5,3e+05,1,9,2
7147302,1,1,1,2,26,4,6,7,216666.666666667,3,9,1
7147303,1,1,1,1,48,5,6,9,2525000,1,9,2
7147304,1,1,1,2,52,5,6,3,2357500,2,9,2
7147308,1,1,1,1,52,6,1,3,780000,8,9,NA
7147310,1,1,1,1,48,6,1,3,60000,11,9,NA
7147311,1,1,1,1,31,1,1,11,1e+06,2,9,1
7147312,1,1,1,2,46,5,1,3,1200000,2,9,1
7147313,1,1,1,1,60,4,1,3,7e+05,1,9,1
7147319,1,1,1,2,30,5,6,5,899500,3,9,1
7147321,1,1,1,1,40,2,1,3,2376333.33333333,4,9,1
7147322,1,1,1,2,63,3,6,3,886000,3,9,1
7147323,1,1,1,2,27,6,6,6,30000,3,9,1
7147324,1,1,1,2,33,2,6,6,372000,4,9,1
7147325,1,1,1,1,68,6,6,3,660000,2,9,1
7147326,1,1,1,2,43,2,6,5,856666.666666667,5,9,1
7147327,1,1,1,2,50,4,6,3,785000,4,9,1
7147328,1,1,1,2,58,4,1,3,1546166.66666667,5,9,1
7147329,1,1,1,1,40,5,6,3,80000,1,9,NA
7147330,1,1,1,1,61,2,6,1,380000,2,9,NA
7147331,1,1,1,1,55,4,6,3,330000,1,9,NA
7147332,1,1,1,2,37,2,6,3,423333.333333333,3,9,NA
7147333,1,1,1,1,47,5,6,3,280000,1,9,NA
7147334,1,1,1,1,68,2,6,1,320000,3,9,NA
7147335,1,1,1,1,41,2,6,3,60000,2,9,NA
7147336,1,1,1,2,75,3,6,1,137500,2,9,NA
7147337,1,1,1,1,32,2,6,3,88500,4,9,NA
7147338,1,1,1,1,30,2,6,3,117000,4,9,NA
7147340,1,1,1,1,62,4,6,5,5e+05,1,9,1
7147341,1,1,1,2,32,4,1,NA,386500,3,9,1
7147342,1,1,1,2,50,4,6,1,38333.3333333333,1,9,1
7147343,1,1,1,1,88,3,6,3,142500,1,9,1
7147344,1,1,1,1,76,6,6,3,270000,2,9,1
7147345,1,1,1,1,73,6,6,1,1e+05,1,9,1
7147346,1,1,1,2,60,3,6,3,120000,3,9,1
7147347,1,1,1,2,28,6,6,5,228000,5,9,1
7147348,1,1,1,1,65,6,6,1,669750,5,9,1
7147349,1,1,1,1,74,6,6,3,275000,2,9,1
7147350,1,1,1,1,39,6,6,3,350000,3,9,1
7147351,1,1,1,1,71,2,1,3,790000,6,9,1
7147352,1,1,1,1,49,2,6,3,8e+05,5,9,1
7147353,1,1,1,2,51,2,1,3,330000,5,9,1
7147354,1,1,1,1,48,5,6,3,1200000,1,9,1
7147355,1,1,1,1,52,6,6,3,9e+05,4,9,1
7147356,1,1,1,1,51,6,6,4,2300000,3,9,1
7147357,1,1,1,1,30,2,6,4,990000,4,9,1
7147358,1,1,1,2,40,4,6,4,407500,3,9,1
7147359,1,1,1,1,35,6,6,5,7e+05,4,9,1
7147360,1,1,1,1,46,2,6,5,1649500,3,9,1
7147361,1,1,1,1,72,6,6,3,950000,3,9,1
7147363,1,1,1,2,34,1,6,NA,2450000,4,9,2
7147364,1,1,1,1,63,2,6,3,1500000,2,9,1
7147367,1,1,1,1,45,6,6,9,10090000,4,9,2
7147368,1,1,1,1,54,6,6,4,660000,4,9,2
7147369,1,1,1,1,46,2,6,9,7200000,3,9,2
7147370,1,1,1,1,38,2,6,5,2130000,3,9,2
