"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7121681,1,1,1,1,52,6,6,4,1129000,1,1,4
7121682,1,1,1,1,44,6,5,1,1986666.66666667,6,1,4
7121683,1,1,1,1,52,4,6,3,7e+05,1,1,4
7121687,1,1,1,2,47,4,1,4,904500,5,1,2
7121689,1,1,1,1,48,6,6,4,2e+06,2,1,2
7121690,1,1,1,2,36,2,5,7,1871666.66666667,4,1,2
7121691,1,1,1,2,71,3,5,5,360416.666666667,4,1,2
7121693,1,1,1,1,51,6,6,7,3030000,6,1,2
7121694,1,1,1,2,31,2,6,9,1400000,4,1,2
7121695,1,1,1,2,35,4,6,7,861666.666666667,3,1,2
7121697,1,1,1,2,33,2,5,4,1182500,4,1,2
7121698,1,1,1,2,21,2,6,5,9e+05,3,1,2
7121699,1,1,1,1,32,2,5,9,970000,4,1,2
7121700,1,1,1,2,31,4,6,7,4e+05,4,1,2
7121701,1,1,1,1,41,4,1,11,1500000,4,1,2
7121702,1,1,1,2,76,3,5,1,1866666.66666667,5,1,2
7121703,1,1,1,2,72,3,6,3,1100000,2,1,2
7121704,1,1,1,2,62,2,6,5,1132000,2,1,2
7121705,1,1,1,1,56,2,5,3,3804500,8,1,2
7121706,1,1,1,1,58,2,6,3,1272500,5,1,2
7121707,1,1,1,1,57,2,6,3,1200000,2,1,2
7121709,1,1,1,1,30,2,6,1,60000,3,1,1
7121710,1,1,1,2,46,1,6,3,1159833.33333333,3,1,0
7121712,1,1,1,1,73,2,6,1,996000,5,1,0
7121713,1,1,1,1,49,2,6,5,570000,5,1,1
7121714,1,1,1,2,71,5,5,4,286666.666666667,2,1,2
7121715,1,1,1,2,30,5,6,4,210000,4,1,0
7121716,1,1,1,1,53,4,6,5,0,1,1,2
7121718,1,1,1,1,69,6,5,11,7633333.33333333,2,1,2
7121719,1,1,1,1,38,2,6,3,1532583.33333333,6,1,0
7121720,1,1,1,1,35,2,6,5,1080000,4,1,2
7121721,1,1,1,2,30,5,6,4,70000,4,1,1
7121722,1,1,1,2,43,4,6,3,330000,3,1,0
7121723,1,1,1,2,30,2,5,5,668666.666666667,5,1,1
7121724,1,1,1,2,49,2,6,4,794000,4,1,1
7121725,1,1,1,1,57,6,6,5,8e+05,1,1,3
7121726,1,1,1,2,27,2,1,7,2047000,3,1,3
7121727,1,1,1,1,37,5,1,3,720000,1,1,3
7121728,1,1,1,2,49,2,6,7,4e+05,1,1,3
7121729,1,1,1,1,22,4,5,5,528333.333333333,2,1,3
7121730,1,1,1,1,35,5,5,11,9e+05,1,1,3
7121732,1,1,1,1,25,2,6,3,850000,4,1,0
7121733,1,1,1,1,31,2,6,3,309583.333333333,6,1,0
7121734,1,1,1,2,68,1,6,1,7e+05,2,1,0
7121735,1,1,1,2,20,2,1,4,1212666.66666667,3,1,0
7121736,1,1,1,1,48,3,6,3,9e+05,5,1,1
7121737,1,1,1,1,24,4,5,3,450000,1,1,0
7121738,1,1,1,1,40,2,6,4,458000,7,1,0
7121739,1,1,1,2,52,4,5,1,780000,5,1,1
7121740,1,1,1,2,56,4,6,3,780000,2,1,2
7121741,1,1,1,1,33,1,6,5,790000,3,1,1
7121742,1,1,1,1,26,1,6,4,2200000,4,1,1
7121744,1,1,1,2,52,4,6,4,886500,4,1,1
7121746,1,1,1,2,25,5,6,11,750000,1,1,2
7121747,1,1,1,2,23,5,5,4,6e+05,1,1,2
7121748,1,1,1,2,52,2,6,4,1375000,2,1,3
7121750,1,1,1,2,76,3,6,3,789583.333333333,3,1,3
7121751,1,1,1,1,39,4,6,7,1041666.66666667,1,1,3
7121752,1,1,1,2,47,2,6,5,2507333.33333333,7,1,3
7121753,1,1,1,1,62,4,6,11,4300000,2,1,3
7121755,1,1,1,1,32,6,6,5,1e+05,2,1,1
7121756,1,1,1,1,29,2,6,5,305000,4,1,1
7121757,1,1,1,1,62,2,6,3,235000,3,1,1
7121759,1,1,1,1,25,2,6,5,6e+05,3,1,1
7121762,1,1,1,1,65,6,6,4,374166.666666667,2,1,1
7121763,1,1,1,1,77,6,6,3,475000,2,1,1
7121764,1,1,1,1,53,6,6,1,1800000,2,1,1
7121765,1,1,1,2,73,3,6,3,3e+05,1,1,1
7121767,1,1,1,2,37,4,5,5,507833.333333333,2,1,1
7121769,1,1,1,2,50,4,6,1,216666.666666667,1,1,1
7121770,1,1,1,1,75,6,6,3,625000,3,1,1
7121773,1,1,1,1,46,6,6,3,1258116,5,1,1
7121774,1,1,1,1,63,6,6,5,650000,2,1,1
7121776,1,1,1,1,60,6,6,11,3620000,4,5,3
7121783,1,1,1,2,57,2,6,5,3250000,2,5,3
7121801,1,1,1,1,85,2,6,1,430000,2,3,2
7121802,1,1,1,2,53,5,6,3,2400000,2,3,2
7121805,1,1,1,1,39,6,6,5,2137666.66666667,5,3,2
7121806,1,1,1,1,32,2,6,3,657833.333333333,3,3,1
7121808,1,1,1,1,20,2,6,3,1035000,3,3,1
7121808,2,1,1,1,29,2,6,3,1035000,3,3,1
7121810,1,1,1,1,39,1,6,4,1500000,2,3,1
7121811,1,1,1,1,34,6,6,7,1679166.66666667,4,3,1
7121812,1,1,1,2,46,1,6,5,480000,3,3,1
7121813,1,1,1,2,57,5,6,3,808333.333333333,2,3,1
7121814,1,1,1,2,48,4,6,3,6e+05,1,3,1
7121816,1,1,1,2,36,4,6,3,718333.333333333,5,3,1
7121817,1,1,1,1,50,5,6,3,6e+05,1,3,1
7121819,1,1,1,1,26,6,6,5,2655000,5,3,2
7121820,1,1,1,1,59,4,6,1,1100000,1,3,3
7121822,1,1,1,1,28,1,6,7,1911666.66666667,4,3,3
7121823,1,1,1,1,59,2,6,5,1875000,1,3,3
7121825,1,1,1,2,35,4,6,11,2426666.66666667,3,3,3
7121826,1,1,1,1,27,5,6,11,2e+06,1,3,2
7121827,1,1,1,2,34,5,6,3,305000,5,3,1
7121828,1,1,1,1,61,5,6,3,80000,1,3,1
7121829,1,1,1,1,50,2,6,3,1200000,4,3,1
7121830,1,1,1,1,47,2,6,3,609500,4,3,1
7121831,1,1,1,2,26,5,6,5,961500,2,3,1
7121832,1,1,1,1,25,2,6,4,8e+05,4,3,1
7121833,1,1,1,2,26,5,6,5,8275000,2,3,1
7121834,1,1,1,2,49,5,6,4,1e+06,1,3,2
7121835,1,1,1,1,44,2,6,3,1090000,3,3,3
7121836,1,1,1,1,53,5,6,3,1320000,1,3,3
7121837,1,1,1,2,41,4,6,3,2e+05,2,3,3
7121838,1,1,1,2,41,2,6,NA,873200,3,3,3
7121839,1,1,1,2,76,5,6,3,565000,3,3,3
7121840,1,1,1,2,93,3,6,1,2275000,2,3,3
7121841,1,1,1,1,40,2,6,3,715000,4,3,1
7121842,1,1,1,1,69,3,6,3,375000,2,3,3
7121843,1,1,1,2,55,4,6,3,387500,3,3,1
7121844,1,1,1,1,61,6,6,4,333333.333333333,2,3,1
7121845,1,1,1,2,34,4,6,5,416666.666666667,4,3,1
7121846,1,1,1,1,26,2,6,7,912500,4,3,1
7121847,1,1,1,1,54,2,6,5,2900000,4,3,1
7121848,1,1,1,1,48,6,6,4,1600000,3,3,1
7121849,1,1,1,2,35,4,6,NA,558333.333333333,4,3,1
7121850,1,1,1,2,79,3,6,3,315000,1,3,1
