"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
2,55,2,6,8,5,388666.666666667,4,1,1
1,40,6,5,8,5,192083.333333333,4,1,1
2,28,2,6,9,7,740000,3,1,1
1,55,6,5,7,3,710000,5,1,1
1,70,2,6,8,3,1241583.33333333,1,1,1
2,33,4,5,8,11,613333.333333333,6,1,1
2,46,2,6,9,3,1523000,5,1,1
1,30,2,6,8,5,1128250,4,1,1
2,53,4,5,7,5,7e+05,4,1,1
1,37,6,5,7,5,1451666.66666667,2,1,1
1,36,2,6,8,7,2515333.33333333,5,1,1
2,49,3,6,9,4,1441666.66666667,3,1,1
1,35,2,6,8,7,1e+06,1,1,1
1,25,5,6,8,5,831333.333333333,1,1,1
1,35,2,6,8,5,1859166.66666667,2,1,1
1,44,6,5,7,5,560000,2,1,1
2,35,2,6,9,5,1216583.33333333,3,1,1
2,38,4,6,5,7,453333.333333333,3,1,1
1,43,2,5,8,4,1150000,5,1,1
1,45,6,6,4,4,0,3,1,1
1,53,6,5,5,3,430000,4,1,1
2,23,2,6,8,5,415833.333333333,4,1,1
2,41,4,5,7,4,46000,6,1,1
2,22,4,6,9,5,22500,2,1,1
2,84,3,5,8,1,475000,2,1,1
1,47,2,6,8,5,850000,2,1,1
2,28,2,6,8,7,1074666.66666667,3,1,1
2,52,3,5,7,3,850000,4,1,1
2,60,2,5,8,3,475000,2,1,1
2,50,4,6,5,3,353333.333333333,1,1,1
2,73,3,5,8,3,825000,4,1,1
1,54,2,6,8,1,350000,3,1,1
2,21,6,6,9,5,350000,3,1,1
2,31,5,5,5,5,125000,2,1,1
1,80,2,6,7,1,83333.3333333333,3,1,1
1,57,2,6,5,1,850000,6,1,1
1,69,3,6,9,1,120833.333333333,1,1,1
1,43,2,5,7,5,750000,4,1,1
1,56,4,6,8,1,150000,1,1,1
1,58,2,5,8,1,9e+05,5,1,1
1,60,2,6,7,1,1060000,4,1,1
1,57,2,6,9,1,1010000,6,1,1
2,26,6,6,6,4,2276666.66666667,3,1,0
1,52,2,5,8,3,547500,3,1,1
1,42,6,5,7,3,620000,5,1,1
2,60,3,5,7,3,1317500,2,1,1
2,51,4,6,8,5,930833.333333333,7,1,1
2,86,3,6,8,1,123333.333333333,1,1,1
1,63,2,5,8,1,530000,3,1,1
1,79,6,6,9,3,191666.666666667,2,1,1
2,74,6,5,8,3,663333.333333333,4,1,1
1,67,6,6,9,3,358333.333333333,2,1,1
2,55,4,5,7,3,2e+05,1,1,1
2,60,4,6,10,7,3166666.66666667,2,8,3
1,60,6,5,10,3,5236666.66666667,4,8,1
1,30,2,6,10,5,1929000,2,8,2
2,63,2,5,10,4,2372500,4,8,1
1,46,2,5,10,3,3884500,4,8,1
2,61,5,5,10,5,26597000,1,8,1
2,24,2,5,10,5,1178333.33333333,3,8,2
2,54,6,5,10,5,2e+06,2,8,2
1,35,2,6,10,5,1008333.33333333,2,8,2
1,60,6,6,10,1,0,2,8,2
1,64,5,6,10,1,0,1,8,2
2,66,3,3,10,4,8500000,5,8,1
1,64,6,3,10,4,1200000,3,8,3
1,38,6,6,10,4,1200000,3,8,1
2,39,5,5,9,5,1466183.66666667,3,8,2
2,67,3,6,7,3,643750,1,8,1
2,31,5,3,10,4,3831000,7,8,1
1,29,6,6,10,3,2965019.33333333,3,8,2
2,77,3,5,10,3,5394083.33333333,5,8,4
2,74,5,5,7,3,7e+05,2,8,2
2,60,3,6,10,5,2713000,2,8,2
2,52,5,5,8,4,1161166.66666667,2,8,2
1,44,2,3,10,5,2636666.66666667,3,8,2
2,46,2,6,10,4,3790000,2,8,1
1,58,6,6,9,3,2292332,3,8,2
2,35,5,3,10,5,2153666.66666667,4,8,1
2,33,2,3,8,5,3247032,5,8,2
2,37,5,3,10,5,1710333.33333333,4,8,2
2,34,5,5,7,4,1047032,1,8,1
1,34,2,4,9,5,3830365.33333333,5,8,2
2,50,4,6,7,5,1821083.33333333,2,8,2
2,58,5,6,10,3,1394833.33333333,1,8,1
2,55,5,6,10,1,3e+05,1,8,2
1,70,2,6,10,4,1e+06,2,8,2
2,58,6,5,7,3,3409499.33333333,2,8,1
1,58,2,6,8,5,2086833.33333333,2,8,2
1,76,6,6,9,1,1066666.66666667,2,1,9
1,43,2,6,8,3,1004333.33333333,5,1,9
1,71,4,6,10,1,157500,1,1,1
1,21,1,6,7,4,310000,3,1,1
1,54,2,6,10,3,255000,12,1,9
2,50,3,6,10,3,265666.666666667,6,1,1
2,61,5,6,10,3,705000,2,1,9
1,37,2,6,8,5,319000,5,1,9
1,45,2,6,8,3,302500,9,1,1
2,42,2,6,6,3,1319000,12,1,9
1,26,2,6,9,5,730000,7,1,1
1,42,2,5,10,3,6e+05,3,1,9
1,52,2,6,8,4,1899282.66666667,5,1,9
1,43,2,5,10,3,520333.333333333,4,1,1
1,43,6,6,7,5,230000,5,1,9
2,37,4,5,5,4,416000,3,1,1
1,57,2,6,9,3,693333.333333333,8,1,9
1,36,2,6,5,1,30000,6,1,NA
1,33,2,6,7,4,565833.333333333,5,1,9
2,37,4,6,10,3,426666.666666667,5,1,9
2,49,4,6,8,1,74000,4,1,9
1,39,2,6,10,3,727666.666666667,6,1,9
1,39,2,6,10,3,114166.666666667,2,1,9
1,49,2,6,5,1,355000,6,1,9
2,32,3,5,7,3,492500,7,1,9
2,65,3,6,10,1,75000,1,1,NA
1,64,2,6,0,1,315000,2,1,1
1,40,2,6,10,3,590000,4,1,9
1,45,2,6,9,3,751666.666666667,4,1,9
1,32,2,6,10,3,434000,5,1,1
1,45,4,6,8,5,7e+05,1,1,9
2,25,5,6,7,7,4e+05,3,1,9
1,35,2,6,5,3,308333.333333333,9,1,9
1,38,2,6,4,4,575000,5,1,1
1,38,6,6,4,5,980000,5,1,9
2,32,4,6,9,3,413666.666666667,7,1,9
1,33,2,6,8,4,630000,4,1,9
1,59,4,6,10,3,7e+05,1,1,NA
1,56,2,6,8,1,764666.666666667,8,1,0
2,72,3,6,7,1,277500,1,1,9
1,68,2,6,9,1,738833.333333333,7,1,1
2,33,2,6,10,3,460333.333333333,9,1,0
1,40,2,6,9,5,881666.666666667,9,1,1
1,73,2,6,8,1,262500,2,1,9
1,33,2,6,9,4,160000,2,1,9
1,61,3,6,5,1,450000,1,1,NA
1,28,2,6,0,5,860000,5,1,NA
1,67,6,6,10,1,809166.666666667,3,1,0
1,54,6,6,10,3,1100000,3,1,1
2,50,4,6,10,3,366666.666666667,3,1,1
2,51,5,6,7,13,3712500,1,1,1
2,79,3,6,10,1,490833.333333333,3,1,1
2,62,6,6,7,7,5148278.66666667,4,1,1
1,35,2,6,10,7,630000,3,1,1
2,43,5,6,8,5,1957544.33333333,4,1,1
1,70,3,6,7,3,115500,3,1,1
1,74,2,6,10,1,471666.666666667,3,1,1
2,51,4,6,0,1,3e+05,1,1,1
2,39,4,6,10,7,150000,6,1,1
1,60,2,6,10,1,2770833.33333333,7,1,1
1,43,2,6,10,4,1110000,5,1,1
1,25,2,6,9,3,0,3,1,1
2,18,1,6,10,NA,330000,3,1,1
1,39,2,6,10,5,1761666.66666667,5,1,1
1,29,1,6,8,7,1455000,4,1,1
2,49,2,6,10,11,3295500,2,1,1
2,68,5,6,10,3,241916.666666667,2,1,1
2,52,5,6,9,3,717583.333333333,7,1,1
2,61,4,6,5,5,2001449.33333333,3,1,1
2,68,2,6,9,3,3880000,14,1,1
1,65,3,6,2,3,1500000,1,1,1
1,26,5,6,5,NA,1070000,3,1,1
1,36,2,6,5,5,1400000,4,1,1
1,32,2,6,7,4,630000,3,1,0
1,48,6,6,9,5,1540000,5,1,1
1,31,2,6,8,5,1388333.33333333,4,1,1
1,33,1,6,9,10,7e+05,2,1,1
1,28,1,6,9,10,6e+05,4,1,0
1,67,5,6,7,3,208333.333333333,1,1,1
2,42,4,6,10,11,2753333.33333333,1,1,2
2,72,2,6,8,1,663333.333333333,8,1,2
1,32,2,6,8,5,498666.666666667,8,1,1
1,56,2,6,9,1,550000,4,1,1
2,23,4,6,1,4,402500,7,1,1
1,46,2,1,10,4,1367333.33333333,5,1,1
1,72,2,1,10,1,2459000,7,1,1
1,47,2,1,7,11,6500000,2,1,4
1,27,5,6,10,5,972500,1,1,3
2,71,4,6,5,6,0,1,1,3
1,64,6,6,6,5,650000,5,1,2
1,59,5,6,10,1,2e+06,1,1,3
2,53,3,6,9,7,6121666.66666667,3,1,3
1,63,2,6,6,11,0,5,1,4
1,59,2,6,8,5,6604626.16666667,5,1,4
2,59,3,6,7,5,0,2,1,2
2,56,5,6,10,13,4500000,2,1,2
1,66,2,6,9,4,350000,5,1,1
1,24,2,6,8,4,5e+05,5,1,1
1,88,6,6,10,1,497500,2,1,1
1,77,4,6,8,4,315000,2,1,1
1,70,2,6,9,3,6e+05,2,1,2
2,49,4,6,9,7,0,3,1,2
1,57,2,1,6,1,790000,6,1,0
1,80,4,6,7,1,1250000,1,1,0
1,51,4,6,8,5,746666.666666667,2,1,NA
1,32,6,1,10,4,1862000,4,1,0
1,46,2,6,7,3,1890000,6,1,0
1,27,6,6,9,10,9e+05,4,1,0
1,34,4,6,6,1,830000,1,1,NA
1,27,5,6,10,5,9e+05,2,1,0
1,45,2,6,6,5,657500,5,1,1
2,38,4,6,10,3,1275000,3,1,1
2,21,4,6,10,5,816666.666666667,4,1,1
2,44,2,6,2,5,1e+06,9,1,1
1,76,3,1,7,1,86666.6666666667,1,1,1
1,23,4,6,10,5,625000,1,1,1
1,72,6,6,7,3,205000,2,1,1
1,36,2,6,8,3,9e+05,6,1,1
1,38,2,6,10,3,955833.333333333,4,1,9
1,46,2,5,5,1,450000,2,1,9
1,26,2,6,10,5,1126666.66666667,3,1,8
1,33,2,6,8,3,880000,4,1,1
1,63,3,5,8,1,680000,1,1,9
1,39,2,5,7,3,880000,5,1,9
1,35,6,6,10,3,8e+05,2,1,NA
1,56,3,6,8,3,940000,1,1,1
1,26,5,6,8,5,880000,1,1,1
1,54,6,5,9,3,1e+06,1,1,9
1,19,2,6,9,3,250000,3,1,NA
1,43,2,6,8,3,1210000,6,1,NA
1,53,2,6,10,3,2176750,2,1,NA
1,25,2,5,10,5,9e+05,1,1,NA
1,44,2,5,10,1,1e+06,1,1,NA
1,55,4,6,9,3,540000,1,1,NA
1,55,4,6,10,3,976833.333333333,1,1,NA
1,52,2,5,10,1,830000,5,1,NA
1,49,2,5,8,5,930000,1,1,NA
1,26,5,6,9,11,1300000,3,1,2
1,46,2,6,10,13,3e+05,4,1,2
1,77,6,5,8,3,438333.333333333,2,1,1
2,73,3,6,5,3,1650000,5,1,1
2,37,4,6,9,11,2025000,2,1,2
1,39,2,6,7,5,1025333.33333333,5,1,1
1,79,3,6,7,1,580000,1,1,2
1,37,4,6,10,4,870000,2,1,2
2,49,2,6,7,3,2110000,6,1,1
2,45,4,6,6,1,288333.333333333,2,1,1
1,50,6,6,9,10,830000,9,1,1
1,17,5,6,8,4,150000,1,1,1
2,32,4,6,7,7,1210000,5,1,1
1,63,5,6,10,11,2090000,4,1,1
1,37,1,6,10,4,1330000,5,1,1
2,42,4,6,5,4,281666.666666667,4,1,1
1,28,2,6,10,5,1510833.33333333,4,1,1
1,48,4,6,10,5,1508333.33333333,1,1,1
2,37,5,6,8,5,928000,1,1,1
1,51,4,6,10,5,550000,1,1,0
2,71,2,6,2,5,2480000,5,1,2
1,41,2,6,8,5,6412000,3,1,2
1,43,2,6,10,9,0,4,1,2
2,48,6,5,10,7,2106833.33333333,8,1,2
1,75,4,6,8,1,425000,1,1,1
2,69,5,6,8,11,2100000,2,1,2
1,42,2,6,10,5,16500,4,1,1
2,35,2,6,9,11,2700000,4,1,2
2,37,6,6,8,11,1295000,3,1,2
2,52,2,6,8,3,0,2,1,2
2,44,4,6,8,11,3910000,2,1,1
1,63,2,6,10,11,9675000,3,1,2
2,40,2,6,10,5,1679833.33333333,6,1,1
2,51,2,6,10,4,150000,4,1,1
2,80,3,6,6,1,531000,2,1,1
2,59,4,6,6,3,842500,2,1,1
2,41,3,6,7,3,2e+05,2,1,1
2,45,2,6,10,4,311750,4,1,1
2,69,3,6,5,1,1708166.66666667,3,1,1
2,58,6,6,10,3,150000,2,1,1
1,50,2,6,9,5,1270000,4,1,1
2,41,4,6,10,11,206166.666666667,3,1,1
2,77,2,6,7,1,235000,1,1,1
1,33,5,6,4,3,1047916.66666667,1,1,1
1,57,6,6,8,3,0,2,1,1
1,31,2,6,8,7,2150000,4,1,2
2,37,4,6,8,4,375000,3,1,1
1,61,4,6,7,1,250000,1,1,NA
1,52,5,6,10,4,1558333.33333333,2,2,2
1,65,6,6,7,4,1550000,2,2,2
1,61,2,6,10,3,3326449.33333333,4,2,2
1,65,2,6,7,5,2206232,3,2,2
1,59,6,6,10,4,0,3,2,2
2,64,3,6,5,3,266666.666666667,1,2,2
1,57,6,6,8,5,4709282.66666667,3,2,2
2,64,3,6,8,3,2184782.66666667,3,2,2
1,48,6,6,10,11,4252666.66666667,4,2,2
1,56,6,6,10,5,4990000,3,2,2
2,32,5,6,8,NA,1722333.33333333,2,2,2
1,61,2,6,7,3,1720833.33333333,3,2,2
1,69,6,6,8,5,2905000,4,2,2
1,46,2,6,10,5,1566666.66666667,4,2,3
1,30,2,6,8,5,3245500,2,2,2
2,39,5,6,8,5,1667000,4,2,2
1,32,2,6,10,4,5722500,5,2,2
2,44,5,6,10,5,4469833.33333333,4,2,2
1,62,6,6,9,3,2500000,2,2,2
1,40,2,6,8,7,3876666.66666667,3,2,3
1,38,2,6,10,5,1887500,4,2,3
1,36,2,5,8,5,1811449.33333333,4,2,3
2,55,3,5,7,1,1194782.66666667,3,2,3
2,26,5,6,10,5,865000,3,2,3
1,66,6,6,10,3,0,2,2,3
2,63,5,6,8,4,2012000,2,2,3
1,60,4,6,5,5,1246500,2,2,2
1,37,5,6,7,5,1884000,1,2,2
1,61,6,6,6,3,483333.333333333,2,2,2
1,60,6,6,7,3,820000,2,2,1
1,68,6,6,7,3,363333.333333333,3,2,1
2,22,2,6,9,4,750000,4,2,1
1,24,2,6,9,3,1e+06,2,2,1
2,30,1,6,6,10,2e+05,2,2,1
2,53,2,6,5,1,357500,4,2,1
1,30,2,6,10,5,1830000,3,2,1
1,58,6,6,8,5,550000,2,2,1
2,28,2,6,6,3,1620833.33333333,4,2,1
2,36,4,6,8,4,1120000,3,2,1
1,44,6,6,9,5,1334666.66666667,4,2,1
1,45,6,6,8,3,975000,5,2,1
1,50,6,6,9,3,2305000,9,2,1
2,29,4,6,2,3,365000,4,2,1
1,60,2,6,2,3,2425000,9,2,1
2,43,2,6,9,3,760000,3,2,1
1,63,6,6,5,3,650000,2,2,1
1,55,6,6,7,3,660000,4,2,1
1,26,2,6,8,4,675000,4,2,NA
1,41,2,6,9,3,1072083.33333333,3,2,1
1,59,6,6,9,3,1550000,3,2,1
1,58,5,6,10,3,6e+05,1,2,1
1,59,6,6,9,4,6e+05,4,2,1
1,45,6,6,8,4,1908333.33333333,5,2,1
1,65,6,6,9,3,1031666.66666667,2,2,1
1,26,2,6,9,4,440000,3,2,1
1,23,2,6,9,4,1e+06,3,2,1
1,49,6,6,9,4,5159166.66666667,5,2,1
2,27,2,6,8,NA,7e+05,3,2,1
1,48,6,6,5,3,1480000,5,2,2
2,58,6,6,4,3,550000,2,2,NA
1,34,6,6,8,4,1100000,5,2,1
1,58,6,6,10,3,640000,3,2,1
2,74,3,6,8,3,1144166.66666667,8,2,1
2,40,6,6,5,3,2469500,7,2,2
1,61,6,6,8,3,990000,3,2,1
1,38,2,6,9,3,875000,5,2,2
1,33,5,6,10,5,1175833.33333333,1,2,2
2,39,6,6,9,3,1662500,5,2,2
1,33,2,6,8,4,480000,5,2,2
2,84,3,6,8,3,5e+05,1,2,2
1,41,6,6,8,3,1698333.33333333,4,2,2
1,47,5,6,8,1,6e+05,2,2,2
1,64,6,6,6,3,735000,5,2,1
2,50,3,6,5,3,825000,4,2,2
1,73,6,6,8,3,530000,2,2,2
1,62,6,6,8,5,1600000,2,2,2
1,60,6,6,5,3,654166.666666667,3,2,2
1,64,6,6,8,3,1375000,5,2,2
1,48,6,6,10,3,2215000,5,2,2
1,53,2,6,7,3,436000,3,2,2
2,61,4,6,5,6,270000,1,2,3
2,45,4,6,7,7,26666.6666666667,3,2,2
1,79,2,6,10,3,120000,3,2,2
2,24,4,6,7,4,880000,3,2,2
1,69,6,6,8,13,2500000,2,2,3
1,36,2,6,7,4,1283116,5,2,2
1,25,6,6,8,11,5500000,3,2,2
1,38,2,6,7,3,401666.666666667,5,2,2
1,56,6,6,8,3,945000,4,2,2
1,64,6,6,7,3,3e+05,2,2,2
2,41,4,6,7,3,440000,2,2,2
1,62,6,6,8,3,695000,3,2,2
1,73,6,6,8,3,728333.333333333,2,2,2
1,33,2,6,7,4,412500,3,2,2
1,48,5,6,8,3,920000,1,2,2
1,72,6,6,8,4,572500,3,2,2
1,35,6,6,8,4,1320000,3,2,2
2,76,3,6,7,3,460000,5,2,2
1,54,2,6,6,3,5817764,7,2,2
1,65,6,6,7,3,0,2,2,2
1,52,6,6,8,3,1927000,6,2,2
1,48,2,6,7,3,7e+05,4,2,2
2,29,4,6,8,7,827000,4,2,2
2,65,3,6,5,3,95000,3,2,2
1,60,4,6,8,9,1345000,2,2,2
1,62,5,6,8,3,826000,1,2,3
1,72,6,6,8,3,1700000,2,2,2
1,55,6,6,8,3,5256000,4,2,3
1,64,6,6,8,5,1927000,3,2,3
1,74,4,6,6,3,191666.666666667,1,2,2
1,57,6,6,7,3,2773000,6,2,3
1,46,4,6,7,3,991782.666666667,2,2,3
1,45,6,6,8,3,2095000,3,2,3
1,43,4,6,7,3,928000,1,2,2
1,32,5,1,7,5,850000,1,2,3
1,43,6,6,8,5,1958000,5,2,3
1,43,5,6,6,5,450000,2,2,3
1,44,4,6,9,11,3111449.33333333,2,2,3
2,43,5,6,7,11,1194782.66666667,2,2,3
2,83,5,6,7,3,12500,1,2,4
1,80,6,6,6,3,2472000,7,2,2
2,73,3,6,8,3,3028000,4,2,3
2,27,5,6,6,7,4e+05,2,2,2
1,68,2,6,8,4,3908000,3,2,2
1,49,2,6,8,3,875000,4,2,2
1,57,6,6,10,3,2950000,3,2,2
1,66,4,6,6,4,1244782.66666667,2,2,2
2,54,4,6,8,11,1e+06,2,2,2
1,39,6,6,6,13,5050000,4,2,2
2,39,4,6,8,7,827000,2,2,2
1,57,2,6,8,11,6600000,3,2,4
1,62,2,6,8,10,5300000,4,2,3
1,76,2,6,8,3,0,2,2,3
1,27,2,6,10,5,3162116,4,2,2
2,67,4,6,8,4,4378000,2,2,2
1,55,6,6,8,4,4e+05,3,2,3
1,59,6,6,5,4,550000,2,2,2
1,47,5,6,8,4,7e+05,1,2,3
2,44,4,6,6,5,1022282.66666667,3,2,2
1,65,6,6,10,3,1521000,2,2,3
1,51,6,6,8,4,2700000,2,2,2
1,19,5,6,5,10,1400000,2,2,2
1,19,1,6,8,4,1750000,2,2,2
1,26,5,6,8,5,1462616,1,2,2
1,31,5,6,8,11,2e+06,1,2,2
1,30,5,1,10,7,5e+06,1,2,2
1,31,2,6,8,3,2616232,4,2,2
2,57,4,6,8,9,2100000,2,2,2
1,65,5,6,7,3,1045000,3,2,2
1,31,2,6,6,3,7e+05,2,2,2
1,44,6,6,8,5,8e+05,3,2,2
2,68,3,6,9,3,2500000,3,2,2
1,49,2,6,9,3,2620000,3,2,2
1,30,5,6,8,NA,1087000,1,2,3
1,49,2,6,10,3,11650000,3,2,3
2,68,3,6,6,5,2687833.33333333,2,2,3
1,55,2,6,9,3,5213333.33333333,3,2,3
1,39,5,6,8,11,5609166.66666667,3,2,3
1,30,6,6,9,5,1200000,2,2,3
1,23,1,6,8,7,1189416.66666667,2,2,3
1,29,2,6,6,5,1800000,2,2,3
1,62,6,6,6,11,4166666.66666667,4,2,3
1,67,6,6,8,3,1220833.33333333,4,2,3
1,20,1,6,10,5,1800000,2,2,3
2,47,3,6,10,7,3358333.33333333,4,2,3
2,57,4,6,10,7,3300000,1,2,3
2,42,4,6,10,11,2083333.33333333,3,2,3
2,50,4,6,4,3,1179000,4,2,3
2,38,1,6,6,4,1119833.33333333,3,2,3
1,52,2,6,8,4,3142333.33333333,2,2,2
1,32,6,6,8,5,1455000,4,2,2
1,25,6,6,7,5,1929900,4,2,2
1,26,5,6,6,5,1750000,2,2,2
1,72,6,6,8,4,3476916.66666667,4,2,2
2,30,2,6,10,4,775000,3,2,2
1,44,6,6,10,3,4088666.66666667,6,2,2
1,27,2,6,10,5,1906666.66666667,3,2,2
2,29,4,6,7,9,1515000,3,2,2
1,79,6,6,10,3,863333.333333333,2,2,2
1,35,6,6,9,9,6200000,4,2,2
1,44,2,6,9,5,4141666.66666667,5,2,2
1,49,6,6,8,4,2100000,4,2,2
1,65,6,6,9,3,4341666.66666667,5,2,2
1,37,6,6,10,5,2172000,5,2,2
1,42,5,6,7,5,1500000,1,2,2
1,38,2,6,9,7,3225000,5,2,2
2,76,3,6,9,3,1737500,1,2,2
1,33,2,6,8,NA,2450000,3,2,3
1,80,3,6,5,3,820000,1,2,2
1,52,6,6,10,11,2100000,2,2,3
2,75,3,6,9,3,3033333.33333333,3,2,2
2,74,5,6,10,3,1032500,1,2,3
1,22,5,3,3,4,1525000,1,2,2
1,36,5,6,10,4,850000,1,2,2
2,34,5,6,9,3,2430750,4,2,3
2,53,6,6,10,3,8004166.66666667,4,2,3
1,38,2,6,9,5,3109916.66666667,4,2,3
1,39,5,6,6,5,950000,1,2,2
2,72,6,6,4,3,1050000,2,2,2
2,30,2,6,10,5,1075000,3,2,2
1,48,5,6,1,5,2e+05,1,2,2
1,43,5,6,9,4,2200000,1,2,2
1,52,5,6,8,7,1896666.66666667,1,2,2
2,29,2,6,5,5,860000,4,2,2
2,27,4,6,8,NA,860000,4,2,2
2,42,5,6,10,7,850000,5,2,2
2,55,6,6,10,4,1160000,2,2,2
1,47,2,6,1,3,2820000,6,2,2
1,35,2,6,10,5,5346666.66666667,3,2,2
2,75,3,6,10,3,1884500,2,2,2
2,31,5,6,8,5,1050000,1,2,2
1,56,2,6,8,3,4628833.33333333,9,2,2
1,52,6,6,9,3,13690000,5,2,2
2,76,3,6,9,1,1754233.33333333,3,2,2
2,40,6,6,7,5,1656666.66666667,6,2,2
1,71,5,6,8,3,771000,2,2,2
2,29,2,6,10,4,1120000,5,2,2
2,22,4,6,8,10,0,3,2,3
2,29,4,6,10,5,0,3,2,3
2,77,4,6,10,3,1450000,2,2,3
1,52,5,6,8,3,1395916.66666667,1,2,2
1,84,3,6,10,3,710000,1,2,2
1,59,6,6,10,3,1732000,4,2,2
1,68,4,6,10,3,1122500,1,2,1
1,59,4,6,10,5,1e+06,1,2,2
1,38,4,6,8,3,942000,1,2,2
1,58,6,6,10,3,854166.666666667,2,2,2
2,71,3,6,10,13,1625000,1,2,4
1,54,6,6,7,11,21958333.3333333,3,2,4
2,46,4,6,8,11,6600000,3,2,4
1,57,6,6,10,3,6e+05,3,2,2
1,61,2,6,4,3,1767666.66666667,4,2,2
2,50,2,6,10,4,550000,2,2,2
1,75,2,6,5,1,570000,2,2,2
2,60,6,6,5,3,450000,2,2,2
1,66,6,6,10,3,450000,2,2,2
2,74,6,6,10,11,3430000,3,2,4
2,25,5,6,9,11,2e+06,1,2,4
2,26,2,6,8,11,4299166.66666667,2,2,4
1,69,2,6,10,5,3749348,5,2,2
1,69,6,6,9,3,2850000,2,2,3
1,70,6,6,8,3,1e+06,2,2,3
1,34,2,6,6,5,1200000,3,2,3
1,62,6,6,9,3,7372000,3,2,3
2,58,4,6,5,4,854166.666666667,5,2,3
1,31,2,6,9,5,8e+05,3,2,2
2,81,3,6,7,3,110000,1,2,2
1,42,2,6,8,3,1023481.33333333,3,2,2
2,33,5,6,9,NA,1025250,2,2,2
1,47,2,6,8,3,14075000,5,2,2
1,48,2,5,9,5,17223248,5,2,2
1,35,6,6,9,9,1786500,2,2,2
1,60,6,6,9,3,1593000,2,2,2
1,36,1,6,10,3,1900000,2,2,3
1,61,6,6,8,11,5300000,2,2,2
1,68,6,6,8,3,15080000,2,2,2
2,54,3,6,5,3,612500,1,2,2
2,27,2,6,9,5,9e+05,5,2,2
1,77,3,6,9,3,10826000,1,2,2
2,40,6,6,8,3,1455000,5,2,2
1,53,6,6,9,3,2075000,3,2,2
1,64,6,6,8,3,1983962.66666667,3,2,2
2,48,3,6,7,5,5e+05,1,2,2
1,39,2,6,6,3,2390916,4,2,2
1,35,5,6,7,7,2598116,3,2,2
1,39,2,6,9,3,1824814.66666667,3,2,2
1,48,4,6,9,1,1250000,1,2,2
1,73,6,6,9,3,366666.666666667,3,2,2
1,42,2,6,5,3,2511148,5,2,1
1,37,2,6,8,5,2095962.66666667,4,2,2
2,28,2,6,8,3,1617116,5,2,2
1,53,2,6,8,3,2347814.66666667,5,2,1
1,32,1,6,8,4,2339000,4,2,2
1,54,6,6,9,3,1300000,2,2,2
1,46,5,5,8,3,1200000,1,2,2
2,76,4,6,8,3,2328116,4,2,2
1,36,2,6,9,5,1968000,4,2,2
2,60,5,6,9,3,9785333.33333333,3,2,2
2,62,5,6,10,3,16666.6666666667,2,2,2
2,65,6,6,8,3,897000,1,2,2
1,32,2,6,8,3,1161782.66666667,3,2,2
1,30,6,6,8,6,2166666.66666667,5,2,2
1,46,6,6,9,3,2428000,4,2,2
1,34,2,6,9,7,1892232,3,2,2
1,44,2,6,8,3,1492148,2,2,2
2,61,2,6,9,4,12300000,3,2,2
1,28,2,6,8,5,828000,4,2,2
2,55,5,6,9,5,16350000,2,2,3
1,25,6,6,8,11,3475000,3,2,3
1,50,6,6,7,5,3374333.33333333,4,2,3
2,55,2,6,8,5,710000,3,2,3
1,81,6,6,5,3,14425000,2,2,3
1,37,5,6,10,13,2400000,1,2,3
1,76,3,6,10,7,17300000,2,2,3
2,41,5,6,8,11,2e+06,1,2,3
1,66,6,6,5,5,1500000,2,2,3
1,38,6,6,8,9,1e+06,4,2,3
1,49,6,6,8,4,2195000,3,2,3
2,48,5,6,9,3,954666.666666667,2,2,2
2,74,3,6,8,3,2793000,2,2,2
1,67,2,6,10,7,4425148,4,2,2
2,37,4,6,7,7,1221500,2,2,3
2,43,4,6,9,7,828000,2,2,2
2,33,5,6,10,5,1236000,4,2,2
1,44,2,6,9,3,1656000,5,2,2
1,33,6,6,8,9,4350000,3,2,3
1,32,6,6,10,7,2493333.33333333,4,2,3
1,30,2,6,10,7,3223000,2,2,3
1,36,6,6,8,7,2365732,3,2,3
2,43,4,6,8,5,6e+05,2,2,3
1,27,2,6,4,5,0,3,2,3
2,31,4,6,10,7,1815000,3,2,3
1,57,6,6,8,11,3080000,4,2,3
2,38,4,6,9,11,3146666.66666667,3,2,3
1,65,6,6,8,3,2400000,2,2,2
2,52,4,6,9,4,981000,2,2,2
1,34,2,6,8,5,1100000,3,2,2
1,56,6,6,7,5,2397500,2,2,2
1,46,2,6,6,5,1999166.66666667,3,2,2
1,26,2,6,5,7,9e+05,4,2,2
2,26,6,6,6,10,9e+05,4,2,2
1,29,1,6,7,10,6e+05,2,2,2
1,23,5,6,10,5,1073916.66666667,1,2,2
2,27,5,6,10,5,417166.666666667,2,2,1
2,30,5,6,8,7,947500,2,2,2
2,33,2,6,8,13,5760000,4,2,3
1,49,5,6,10,11,7e+05,3,2,2
1,70,6,6,8,3,1115000,5,2,1
1,57,5,6,8,3,6e+05,1,2,NA
1,41,2,6,9,3,837500,6,2,2
1,73,3,6,8,3,1e+06,1,2,2
1,59,3,6,8,3,750000,1,2,1
1,53,4,6,7,3,1100000,1,2,1
1,24,5,6,6,4,1550000,2,2,1
1,51,6,6,9,3,1900000,5,2,2
