"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
1,37,5,1,10,3,720000,1,1,3
2,49,2,6,10,7,4e+05,1,1,3
1,22,4,5,8,5,528333.333333333,2,1,3
1,35,5,5,9,11,9e+05,1,1,3
1,25,2,6,9,3,850000,4,1,0
1,31,2,6,9,3,309583.333333333,6,1,0
2,68,1,6,10,1,7e+05,2,1,0
2,20,2,1,10,4,1212666.66666667,3,1,0
1,48,3,6,8,3,9e+05,5,1,1
1,24,4,5,10,3,450000,1,1,0
1,40,2,6,8,4,458000,7,1,0
2,52,4,5,8,1,780000,5,1,1
2,56,4,6,9,3,780000,2,1,2
1,33,1,6,10,5,790000,3,1,1
1,26,1,6,7,4,2200000,4,1,1
2,52,4,6,5,4,886500,4,1,1
2,25,5,6,7,11,750000,1,1,2
2,23,5,5,7,4,6e+05,1,1,2
2,52,2,6,3,4,1375000,2,1,3
2,76,3,6,8,3,789583.333333333,3,1,3
1,39,4,6,9,7,1041666.66666667,1,1,3
2,47,2,6,8,5,2507333.33333333,7,1,3
1,62,4,6,8,11,4300000,2,1,3
1,32,6,6,10,5,1e+05,2,1,1
1,29,2,6,4,5,305000,4,1,1
1,62,2,6,4,3,235000,3,1,1
1,25,2,6,7,5,6e+05,3,1,1
1,65,6,6,7,4,374166.666666667,2,1,1
1,77,6,6,8,3,475000,2,1,1
1,53,6,6,10,1,1800000,2,1,1
2,73,3,6,7,3,3e+05,1,1,1
2,37,4,5,8,5,507833.333333333,2,1,1
2,50,4,6,7,1,216666.666666667,1,1,1
1,75,6,6,8,3,625000,3,1,1
1,46,6,6,9,3,1258116,5,1,1
1,63,6,6,8,5,650000,2,1,1
1,60,6,6,5,11,3620000,4,5,3
2,57,2,6,9,5,3250000,2,5,3
1,85,2,6,6,1,430000,2,3,2
2,53,5,6,6,3,2400000,2,3,2
1,39,6,6,10,5,2137666.66666667,5,3,2
1,32,2,6,8,3,657833.333333333,3,3,1
1,20,2,6,10,3,1035000,3,3,1
1,29,2,6,8,3,1035000,3,3,1
1,39,1,6,9,4,1500000,2,3,1
1,34,6,6,7,7,1679166.66666667,4,3,1
2,46,1,6,5,5,480000,3,3,1
2,57,5,6,10,3,808333.333333333,2,3,1
2,48,4,6,6,3,6e+05,1,3,1
2,36,4,6,10,3,718333.333333333,5,3,1
1,50,5,6,7,3,6e+05,1,3,1
1,26,6,6,9,5,2655000,5,3,2
1,59,4,6,8,1,1100000,1,3,3
1,28,1,6,10,7,1911666.66666667,4,3,3
1,59,2,6,9,5,1875000,1,3,3
2,35,4,6,8,11,2426666.66666667,3,3,3
1,27,5,6,7,11,2e+06,1,3,2
2,34,5,6,8,3,305000,5,3,1
1,61,5,6,8,3,80000,1,3,1
1,50,2,6,6,3,1200000,4,3,1
1,47,2,6,7,3,609500,4,3,1
2,26,5,6,10,5,961500,2,3,1
1,25,2,6,8,4,8e+05,4,3,1
2,26,5,6,7,5,8275000,2,3,1
2,49,5,6,8,4,1e+06,1,3,2
1,44,2,6,8,3,1090000,3,3,3
1,53,5,6,6,3,1320000,1,3,3
2,41,4,6,10,3,2e+05,2,3,3
2,41,2,6,5,NA,873200,3,3,3
2,76,5,6,10,3,565000,3,3,3
2,93,3,6,5,1,2275000,2,3,3
1,40,2,6,10,3,715000,4,3,1
1,69,3,6,8,3,375000,2,3,3
2,55,4,6,2,3,387500,3,3,1
1,61,6,6,5,4,333333.333333333,2,3,1
2,34,4,6,6,5,416666.666666667,4,3,1
1,26,2,6,10,7,912500,4,3,1
1,54,2,6,7,5,2900000,4,3,1
1,48,6,6,9,4,1600000,3,3,1
2,35,4,6,3,NA,558333.333333333,4,3,1
2,79,3,6,7,3,315000,1,3,1
1,43,2,6,0,3,0,2,3,2
1,53,6,6,9,3,1580000,6,3,3
2,24,2,6,10,3,1260000,4,3,9
1,45,2,6,5,3,758333.333333333,6,3,1
1,38,6,6,10,4,3686250,3,3,1
1,71,6,6,8,3,616666.666666667,2,3,2
1,62,6,6,10,1,2346666.66666667,3,3,2
1,59,6,6,9,3,783333.333333333,5,3,1
1,30,5,6,10,4,1179000,1,3,1
1,49,2,6,10,3,1795000,4,3,1
1,32,2,6,10,4,2900000,2,3,1
1,28,2,6,10,5,1217500,5,3,1
2,44,6,6,8,3,1018333.33333333,4,3,1
1,49,6,6,10,5,1292333.33333333,3,3,1
2,54,4,6,8,3,890000,3,3,1
1,46,6,6,7,3,1687000,6,3,2
1,73,4,6,7,13,4600000,2,3,2
1,14,5,6,NA,NA,164500,1,3,1
1,45,5,6,9,13,5265000,1,3,2
2,34,2,6,10,4,60000,4,3,1
2,22,4,6,10,4,623333.333333333,3,3,1
1,35,5,6,9,4,4e+05,1,3,1
2,22,2,6,9,3,1057500,6,3,1
2,87,3,6,9,1,520000,1,3,1
