"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","I_UGASTO","REGION","P8520S1","P8520S1A1","HIJOS"
1,52,1,6,9,3,1083333.33333333,1083333.33333333,9,1,9,0
1,59,5,6,10,5,2280000,2280000,9,1,9,0
2,46,5,6,6,3,230000,230000,9,1,1,1
1,77,2,6,5,3,1300000,1300000,9,1,1,0
2,29,5,6,9,5,2e+05,2e+05,9,1,1,1
1,36,2,6,8,5,950000,950000,9,1,8,2
2,38,2,1,4,4,1418000,1418000,9,1,8,5
1,45,2,6,3,4,2150000,2150000,9,1,8,1
1,74,2,6,2,3,450000,450000,9,1,8,0
1,34,2,6,9,5,658000,658000,9,1,1,1
1,44,2,1,10,3,630666.666666667,630666.666666667,9,1,9,3
1,74,2,6,5,1,150000,150000,9,1,1,0
1,32,2,6,9,5,8e+05,8e+05,9,1,1,2
1,30,2,6,7,4,0,0,9,1,1,1
1,35,5,6,10,1,1e+06,1e+06,9,1,8,0
1,49,1,6,8,3,1120000,1120000,9,1,9,0
1,35,2,1,6,3,1150000,1150000,9,1,1,1
1,44,1,6,9,3,1360000,1360000,9,2,NA,0
2,19,2,6,7,3,1050000,1050000,9,1,1,3
1,27,2,6,9,5,150000,150000,9,1,1,0
1,29,2,6,10,5,9e+05,9e+05,9,2,NA,0
1,41,2,6,10,5,1050000,1050000,9,1,1,1
1,43,2,6,9,3,1250000,1250000,9,2,NA,1
2,49,4,6,5,1,150000,150000,9,1,1,1
1,43,2,6,7,3,3345000,3345000,9,1,8,2
1,45,4,6,6,3,1300000,1300000,9,1,8,0
1,28,1,6,6,5,1550000,1550000,9,1,8,0
1,47,1,6,9,3,930000,930000,9,1,9,0
1,39,5,6,9,4,1160833.33333333,1160833.33333333,9,1,9,0
2,35,5,6,8,3,815000,815000,9,1,9,0
1,32,5,6,9,7,1260000,1260000,9,1,9,0
1,18,5,6,9,4,180000,180000,9,2,NA,0
2,40,5,6,10,3,1250000,1250000,9,1,9,0
1,75,2,6,8,3,5008333.33333333,5008333.33333333,9,1,8,0
1,48,6,6,9,3,1270000,1270000,9,2,NA,1
1,53,2,6,8,3,1520000,1520000,9,2,NA,1
1,29,2,1,5,3,350000,350000,9,2,NA,4
1,18,5,6,5,5,150000,150000,9,1,9,0
1,69,2,6,9,1,232166.666666667,232166.666666667,9,1,9,0
1,33,2,6,10,3,1300000,1300000,9,2,NA,1
2,46,6,6,8,5,795750,795750,9,1,8,2
1,36,2,6,8,5,645000,645000,9,1,8,1
1,82,6,6,6,3,573333.333333333,573333.333333333,9,1,8,0
1,34,2,6,7,7,1162000,1162000,9,1,8,0
1,59,2,6,8,3,1145000,1145000,9,1,8,1
2,43,4,1,8,4,7e+05,7e+05,9,1,8,0
1,37,2,6,9,5,302500,302500,9,1,8,1
1,41,2,6,8,5,1245000,1245000,9,1,1,2
1,54,4,6,5,4,250000,250000,9,1,1,0
1,69,2,6,8,3,387500,387500,9,1,0,0
2,21,2,6,6,5,0,0,9,1,1,1
1,44,2,6,10,3,5800000,5800000,9,1,8,1
1,32,5,1,8,3,0,0,9,2,NA,0
1,19,1,6,8,7,1250000,1250000,9,1,9,0
1,25,5,1,7,3,1e+05,1e+05,9,2,NA,0
1,65,2,6,7,3,2e+05,2e+05,9,2,NA,0
1,49,6,6,10,5,1e+05,1e+05,9,2,NA,0
1,39,6,6,8,5,1006666.66666667,1006666.66666667,9,1,9,3
1,63,2,6,8,1,220000,220000,9,2,NA,0
2,69,4,6,9,1,2e+07,2e+07,9,2,NA,0
1,44,2,6,9,5,1460000,1460000,9,1,9,1
1,29,5,6,10,5,9e+05,9e+05,9,1,8,0
1,74,6,6,5,3,517000,517000,9,1,1,0
1,62,6,6,3,1,515833.333333333,515833.333333333,9,1,8,2
1,46,2,6,10,3,3e+05,3e+05,9,2,NA,0
1,86,5,6,8,3,4075000,4075000,9,1,9,0
2,88,3,6,0,1,1500000,1500000,9,1,8,0
2,17,4,6,9,5,0,0,9,1,9,1
1,32,5,6,9,5,1380000,1380000,9,1,9,0
1,16,5,6,5,4,6e+05,6e+05,9,1,8,0
2,32,2,1,4,5,115000,115000,9,2,NA,1
1,34,2,6,9,5,1054000,1054000,9,1,8,2
1,50,2,6,9,4,4445000,4445000,9,1,1,2
2,27,2,6,8,4,1200000,1200000,9,1,2,1
2,42,5,5,6,4,950000,950000,9,1,1,1
2,31,2,6,10,4,2660000,2660000,9,1,2,2
2,41,2,6,10,3,1258333.33333333,1258333.33333333,9,1,2,2
1,49,2,6,9,5,430000,430000,9,1,2,1
1,42,2,6,8,3,930000,930000,9,1,2,3
1,48,2,6,9,7,2145000,2145000,9,1,2,2
1,59,6,6,7,3,8832076.66666667,8832076.66666667,9,1,2,2
1,43,4,6,6,3,8e+05,8e+05,9,1,2,0
2,26,2,6,10,NA,5348365.33333333,5348365.33333333,9,1,2,0
1,31,6,6,10,NA,4e+06,4e+06,9,1,2,1
1,63,6,6,7,13,1100000,1100000,9,1,2,1
1,29,5,6,7,NA,4e+06,4e+06,9,1,2,0
1,45,5,6,10,13,7875000,7875000,9,1,2,0
1,61,4,6,10,13,6212500,6212500,9,1,2,1
1,36,2,6,10,5,2654583.33333333,2654583.33333333,9,1,2,2
2,39,5,6,4,7,1334000,1334000,9,1,2,2
1,43,6,6,8,5,3202032,3202032,1,1,1,2
1,27,1,5,8,NA,945000,945000,1,1,1,1
2,30,2,5,9,7,1676666.66666667,1676666.66666667,1,1,1,2
1,42,6,6,5,5,2338333.33333333,2338333.33333333,1,1,1,1
2,52,2,6,8,5,2246232,2246232,1,1,1,2
2,73,3,6,10,3,2710000,2710000,1,1,2,1
2,48,4,6,8,5,1600000,1600000,1,1,1,4
1,51,6,6,9,11,5e+06,5e+06,1,1,5,1
1,70,6,6,9,5,1e+06,1e+06,1,1,5,2
2,54,5,6,9,3,2541898.66666667,2541898.66666667,1,1,1,4
1,74,3,6,8,4,1760000,950000,1,1,1,1
1,52,6,6,9,11,4711333.33333333,4711333.33333333,1,1,4,2
1,75,6,6,10,5,49200000,49200000,1,1,4,0
2,57,4,6,7,11,3500000,3500000,1,1,4,1
2,55,4,6,10,11,6308449.33333333,6308449.33333333,1,1,4,2
1,36,6,6,10,11,21362333.3333333,21362333.3333333,1,1,4,3
2,59,4,6,10,11,7166666.66666667,7166666.66666667,1,1,4,1
1,24,5,6,7,11,1821300,1821300,1,1,4,0
2,41,4,6,4,4,8e+05,8e+05,1,1,3,1
1,63,6,6,9,7,8803116,8803116,1,1,3,1
1,29,2,6,10,7,1627000,1627000,1,1,2,1
2,60,3,6,8,7,3735064,3735064,1,1,2,1
1,46,4,6,8,3,2e+06,2e+06,1,1,1,1
1,27,6,6,9,11,14750000,14750000,1,1,5,0
1,54,6,6,9,4,1e+06,1e+06,1,1,1,0
2,30,5,6,8,11,7e+05,7e+05,1,1,5,0
1,33,1,6,8,5,958481.333333333,958481.333333333,1,1,1,1
2,48,6,6,9,5,823333.333333333,823333.333333333,1,1,1,1
1,42,2,6,8,7,2528523,2528523,1,1,1,2
1,51,2,6,9,3,1e+06,1e+06,1,1,1,0
1,43,6,6,8,4,1230000,1230000,1,1,1,3
1,63,6,6,9,3,2533481.33333333,2533481.33333333,1,1,1,1
1,64,6,6,7,5,1178116,1178116,1,1,1,0
1,29,2,6,8,7,9e+05,9e+05,1,1,1,2
2,34,2,6,7,5,0,0,1,1,1,2
1,60,4,6,8,5,1311449.33333333,1311449.33333333,1,1,1,0
2,55,4,6,6,4,1090000,1090000,1,1,1,1
1,56,6,6,6,5,2631333.33333333,2631333.33333333,1,1,1,4
1,38,6,6,8,7,1455564.66666667,1455564.66666667,1,1,1,2
1,63,6,6,8,7,5860000,5860000,1,1,4,1
1,90,6,6,8,10,1537500,1537500,1,1,4,0
2,82,5,6,9,5,6235420.83333333,5241254.16666667,1,1,4,0
1,68,4,6,8,5,4300000,4300000,1,1,4,0
1,37,6,6,9,11,3625000,3075000,1,1,4,0
1,43,6,6,8,5,2315000,2315000,1,1,1,1
2,54,4,6,7,5,1510000,1510000,1,1,2,1
1,61,6,6,7,3,230000,230000,1,1,0,0
1,49,4,6,8,3,620000,620000,1,1,8,0
1,43,6,6,5,5,523000,523000,1,1,8,3
1,35,2,5,6,4,845000,845000,1,1,8,3
2,40,6,6,10,3,442500,442500,1,1,8,2
1,54,6,5,2,3,2e+05,2e+05,1,1,8,1
1,45,4,5,6,1,580000,580000,1,1,8,1
2,61,2,6,8,3,312000,312000,1,1,0,1
1,49,2,6,9,3,530000,530000,1,1,8,1
1,40,4,6,9,5,1108116,1108116,1,1,0,0
1,64,2,6,8,1,1080000,1080000,1,1,8,1
1,36,2,6,10,3,847500,847500,1,1,8,4
1,49,6,5,5,1,1148200,1148200,1,1,8,2
1,71,3,6,8,1,550000,550000,1,1,0,0
1,49,2,6,8,4,850000,850000,1,1,0,0
2,23,2,5,5,5,750000,750000,1,1,8,2
1,78,2,5,5,1,931000,931000,1,1,8,1
1,79,2,6,8,3,630000,630000,1,1,0,0
1,37,2,5,5,3,440000,440000,1,1,1,3
1,43,5,6,8,3,350000,350000,1,1,9,0
1,56,2,5,9,3,809166.666666667,809166.666666667,1,1,0,4
1,84,2,5,5,3,217000,217000,1,1,1,2
1,38,5,6,8,1,755000,755000,1,1,1,0
2,57,4,6,8,3,280000,280000,1,1,1,0
1,30,2,5,3,4,116666.666666667,116666.666666667,1,1,1,2
1,27,2,5,5,3,21250,21250,1,1,1,1
1,79,3,6,8,1,650000,650000,1,1,1,1
1,31,2,6,10,3,114166.666666667,114166.666666667,1,1,0,2
1,32,2,5,5,3,185000,185000,1,1,0,2
1,64,2,5,4,1,146666.666666667,146666.666666667,1,1,1,2
1,33,2,6,8,3,590000,590000,1,1,0,0
1,71,4,5,5,1,220000,220000,1,1,1,1
1,61,3,6,8,3,66666.6666666667,66666.6666666667,1,1,0,0
2,59,2,6,8,1,605000,605000,1,1,0,0
1,54,2,6,10,1,620000,620000,1,1,0,0
2,38,2,5,7,5,745000,745000,1,1,1,2
1,65,2,6,9,3,65000,65000,1,1,9,1
1,74,6,6,8,3,626666.666666667,626666.666666667,1,1,9,1
1,45,6,5,7,3,250000,250000,1,1,1,1
2,23,2,6,9,3,5e+05,5e+05,1,1,0,3
1,49,6,6,8,3,872000,872000,1,1,9,1
1,43,6,5,8,3,535833.333333333,535833.333333333,1,1,1,3
1,65,3,6,8,1,250000,250000,1,1,9,0
1,47,4,6,6,5,1150000,1150000,1,1,0,0
1,72,2,5,10,1,1667500,1667500,1,1,1,0
2,49,2,5,7,3,1374166.66666667,1374166.66666667,1,1,1,3
1,58,2,6,10,1,1335000,1335000,1,1,0,1
2,49,2,5,6,3,1300833.33333333,1300833.33333333,1,1,1,2
1,37,2,6,9,10,1700000,1700000,1,1,0,2
1,64,5,5,7,3,3e+05,3e+05,1,1,1,0
2,78,3,5,8,1,763666.666666667,763666.666666667,1,1,1,1
1,61,6,5,8,4,150000,150000,1,1,1,1
1,66,6,5,6,11,1480000,1480000,1,1,1,0
1,25,2,6,8,5,1648000,1648000,1,1,1,1
2,60,3,5,7,5,539583.333333333,539583.333333333,1,1,1,0
1,36,4,5,8,5,8e+05,8e+05,1,1,1,0
2,32,2,5,7,4,885000,885000,1,1,1,3
1,30,2,5,10,6,1205000,1205000,1,1,1,1
1,53,6,5,8,4,2096666.66666667,2096666.66666667,1,1,1,2
1,67,3,5,7,3,1354166.66666667,1354166.66666667,1,1,1,1
2,47,2,5,6,3,435000,435000,1,1,1,0
1,59,3,6,8,3,1142500,1142500,1,1,1,0
1,62,2,6,10,4,3124166.66666667,3124166.66666667,1,1,1,1
2,56,6,5,7,3,780000,780000,1,1,0,0
1,47,2,6,10,5,1303166.66666667,1303166.66666667,1,1,0,2
2,36,2,6,8,5,1190000,1190000,1,1,0,2
1,34,2,6,10,3,482333.333333333,482333.333333333,1,1,0,3
2,22,2,5,6,5,650000,650000,1,1,0,1
1,53,2,6,10,1,705000,705000,1,1,0,0
1,67,2,5,9,3,746666.666666667,746666.666666667,1,1,0,0
2,23,2,5,6,4,550000,550000,1,1,0,2
1,38,2,6,10,3,725000,725000,1,1,0,3
1,69,2,6,10,3,1640000,1640000,1,1,0,1
2,61,2,5,6,3,1663333.33333333,1663333.33333333,1,1,1,1
1,54,4,5,7,1,1440000,1440000,1,1,0,0
2,44,6,5,7,5,5850833.33333333,5850833.33333333,1,1,1,2
1,61,5,6,8,1,650000,650000,1,1,0,0
2,72,3,5,6,3,206250,206250,1,1,1,0
1,50,2,6,8,3,1430666.66666667,1430666.66666667,1,1,0,2
1,66,4,6,9,1,1050000,1050000,1,1,0,0
1,31,2,5,9,5,980000,980000,1,1,0,1
1,75,5,5,6,1,450000,450000,1,1,1,0
2,30,4,6,7,5,582500,582500,1,1,0,2
2,43,2,6,10,4,422666.666666667,422666.666666667,1,1,0,0
1,50,2,5,6,1,1145833.33333333,1145833.33333333,1,1,1,2
2,47,4,5,9,3,6e+05,6e+05,1,1,1,0
1,20,2,5,9,3,1077500,1077500,1,1,0,1
1,68,5,5,7,3,1077500,1077500,1,1,0,0
1,73,4,6,7,1,530000,530000,1,1,0,0
1,50,5,5,6,3,3e+05,3e+05,1,1,0,0
2,80,3,5,8,1,7949750,7949750,1,1,0,1
2,47,4,5,5,3,446000,446000,1,1,0,1
1,55,4,5,6,4,1130000,1130000,1,1,0,1
1,47,6,5,6,5,412500,412500,1,1,1,3
1,39,6,5,6,4,530000,530000,1,1,1,2
1,61,2,5,6,3,443500,443500,1,1,1,3
2,87,3,6,8,3,1296666.66666667,1296666.66666667,1,1,1,0
1,61,6,6,8,5,1300000,1300000,1,1,1,1
1,65,4,6,8,1,350000,350000,1,1,1,0
1,40,2,5,8,3,1320000,1320000,1,1,0,1
1,55,4,6,10,4,870000,870000,1,1,1,0
2,46,4,5,7,5,4149000,4149000,1,1,1,1
2,85,3,5,0,1,490000,490000,1,1,0,0
2,24,2,5,6,4,575000,575000,1,1,0,2
1,56,2,6,9,4,550000,550000,1,1,1,1
1,77,2,6,8,3,5e+05,5e+05,1,1,1,1
1,34,2,6,10,5,466666.666666667,466666.666666667,1,1,1,1
2,34,2,5,5,5,60000,60000,1,1,1,1
1,56,4,5,9,3,2e+05,2e+05,1,1,1,0
1,62,3,6,8,1,250000,250000,1,1,1,0
1,27,2,6,8,5,1200000,1200000,1,1,1,0
2,64,3,5,6,3,250000,250000,1,1,1,0
1,46,2,6,9,3,906666.666666667,906666.666666667,1,1,1,0
2,52,4,6,8,3,740000,740000,1,1,1,0
2,20,2,5,6,5,1e+05,1e+05,1,1,0,0
1,54,2,5,7,3,1e+05,1e+05,1,1,1,0
2,37,4,5,9,5,8e+05,8e+05,1,1,0,1
1,69,6,5,10,1,605000,605000,1,1,1,0
2,35,4,5,7,3,620833.333333333,620833.333333333,1,1,9,0
2,51,2,6,9,5,1750000,1750000,1,1,1,2
1,34,6,5,5,4,593333.333333333,593333.333333333,1,1,2,2
2,48,4,6,10,4,1165000,1165000,1,1,1,2
2,43,4,6,9,4,435000,435000,1,1,1,2
1,72,2,6,10,5,8494941.66666667,8494941.66666667,1,1,2,0
1,33,2,1,10,5,1330000,1330000,1,1,1,3
1,53,4,1,7,3,911449.333333333,911449.333333333,1,1,1,0
2,51,6,1,4,3,1554666.66666667,1554666.66666667,1,1,2,1
2,44,4,5,7,7,7e+05,7e+05,1,1,1,1
1,19,5,5,8,3,1533333.33333333,1533333.33333333,1,1,1,0
1,40,6,6,7,3,1200000,1200000,1,1,1,1
2,54,4,6,9,5,5e+05,5e+05,1,1,2,2
1,36,6,6,9,4,786000,786000,1,1,1,2
2,25,2,6,10,7,481666.666666667,481666.666666667,1,1,2,2
2,20,2,6,10,4,2e+05,2e+05,1,1,1,0
2,58,4,6,8,7,275000,275000,1,1,2,0
2,18,2,6,10,5,2e+05,2e+05,1,1,1,1
1,30,2,6,9,5,0,0,1,1,1,1
2,35,5,6,10,3,0,0,1,1,1,2
1,63,6,6,8,3,525000,525000,1,1,2,0
2,36,5,6,9,7,6e+05,6e+05,1,1,1,2
2,65,4,6,8,1,225000,225000,1,1,2,0
2,60,4,6,7,3,316666.666666667,316666.666666667,1,1,1,1
2,81,2,6,10,3,726250,726250,1,1,2,0
1,31,2,5,10,7,2e+05,2e+05,1,1,1,0
2,67,3,5,10,3,750000,750000,1,1,1,0
2,50,5,6,10,5,275000,275000,1,1,1,1
2,55,5,6,9,1,350000,350000,1,1,1,0
1,66,2,1,8,1,1730000,1730000,1,1,0,1
1,29,2,1,8,NA,2367500,2367500,1,1,1,2
2,51,3,1,10,1,3135000,3135000,1,1,1,2
2,34,2,1,7,3,1266666.66666667,1266666.66666667,1,1,0,5
1,43,6,6,10,5,1076000,1076000,1,1,2,2
1,59,2,6,8,1,1900000,1900000,1,1,0,4
2,25,4,1,9,NA,285000,285000,1,1,1,2
1,35,2,5,9,4,1290000,1290000,1,1,1,2
1,25,6,1,7,3,818000,818000,1,1,1,0
1,40,2,6,10,3,1400000,1400000,1,1,2,1
1,38,2,1,10,3,684800,684800,1,1,1,1
2,49,2,5,10,5,462500,462500,1,1,1,2
2,20,5,1,8,3,150000,150000,1,1,1,0
2,60,3,6,8,3,112500,112500,1,1,1,1
1,34,2,1,9,3,660000,660000,1,1,1,1
1,60,6,6,9,11,7100000,6650000,1,1,2,2
2,24,5,6,10,9,1041666.66666667,1041666.66666667,1,1,1,2
1,42,6,6,8,7,1800000,1800000,1,1,2,2
1,61,2,6,9,7,1250000,1250000,1,1,2,2
2,19,2,6,7,4,4e+05,4e+05,1,1,9,1
1,66,4,6,9,3,9e+05,9e+05,1,1,2,0
2,37,5,6,6,4,0,0,1,1,9,2
1,43,1,6,9,3,8e+05,8e+05,1,1,2,2
2,70,5,6,9,3,291666.666666667,291666.666666667,1,1,1,0
1,46,4,6,9,5,842500,842500,1,1,2,0
1,30,2,6,9,4,1950333.33333333,1950333.33333333,1,1,2,3
2,61,2,6,10,3,5e+05,5e+05,1,1,1,2
2,36,2,6,10,7,1117500,1117500,1,1,2,1
1,31,2,6,9,7,2775000,2775000,1,1,1,1
1,40,2,6,9,5,1176000,1176000,1,1,2,2
2,19,5,6,9,NA,183333.333333333,183333.333333333,1,1,2,1
1,50,2,5,9,3,1350833.33333333,1350833.33333333,1,1,1,4
1,28,2,6,7,4,865000,865000,1,1,1,4
2,79,3,6,7,4,893333.333333333,893333.333333333,1,1,0,2
1,59,2,5,9,3,480000,480000,1,1,1,0
1,23,2,6,8,4,495000,495000,1,1,1,1
1,50,2,5,8,3,242500,242500,1,1,1,1
1,55,2,1,7,4,140000,140000,1,1,0,2
1,56,4,6,8,1,120000,120000,1,1,1,2
2,59,2,5,7,4,562500,562500,1,1,1,0
1,39,2,6,8,5,650000,650000,1,1,1,3
2,29,2,6,8,4,630000,630000,1,1,1,3
1,19,5,1,9,4,530000,530000,1,1,0,0
1,49,4,1,10,5,1200000,1200000,1,1,0,0
2,40,5,1,9,9,367500,367500,1,1,9,1
1,34,2,1,8,3,786000,786000,1,1,0,0
2,23,2,1,9,5,9e+05,9e+05,1,1,9,2
2,60,4,1,7,1,300833.333333333,300833.333333333,1,1,0,1
2,77,5,1,10,1,16666.6666666667,16666.6666666667,1,1,9,0
2,57,2,1,8,11,1550000,1550000,1,1,0,0
1,36,2,1,7,3,540000,540000,1,1,0,3
1,80,2,1,10,3,282500,282500,1,2,NA,1
1,51,2,1,7,3,150000,150000,1,2,NA,1
1,20,5,6,10,5,450000,450000,1,2,NA,0
1,38,2,1,8,3,6e+05,6e+05,1,1,0,2
1,75,3,1,9,1,170833.333333333,170833.333333333,1,2,NA,0
1,25,2,1,8,1,160000,160000,1,1,0,1
1,54,2,1,10,1,270000,270000,1,1,0,0
1,42,2,6,10,4,1050000,1050000,1,1,0,0
1,38,4,6,10,4,1116666.66666667,1116666.66666667,1,1,1,0
2,38,4,1,10,3,395000,395000,1,1,1,1
1,27,2,1,7,NA,150000,150000,1,1,0,1
1,29,2,1,10,4,422500,422500,1,1,1,2
1,59,2,1,9,4,1131116,1131116,1,1,0,4
1,68,2,1,1,1,775000,775000,1,1,1,1
2,25,4,1,10,NA,380000,380000,1,1,0,2
1,35,2,6,10,1,1367500,1367500,1,1,1,0
1,39,4,5,10,3,1230000,1230000,1,1,0,0
1,45,2,6,10,3,1503833.33333333,1503833.33333333,1,1,1,4
1,41,2,1,9,1,1115000,1115000,1,1,0,4
1,45,2,1,9,3,9e+05,9e+05,1,1,0,0
1,46,2,5,9,3,6e+05,6e+05,1,2,NA,1
1,36,6,6,10,7,4394000,4394000,1,1,2,1
1,24,5,6,9,5,6e+05,6e+05,1,1,3,0
1,43,6,6,10,8,5340000,5340000,1,1,2,3
1,34,2,6,10,7,1543333.33333333,1543333.33333333,1,1,3,3
1,69,2,5,10,11,605000,605000,1,1,2,1
1,31,2,6,0,5,6e+05,6e+05,1,1,2,1
2,45,4,6,10,11,2999166.66666667,2999166.66666667,1,1,2,0
2,45,4,6,10,9,1289833.33333333,1289833.33333333,1,1,2,2
1,35,6,6,10,3,790000,790000,1,1,3,1
1,63,2,6,7,4,2680500,2680500,1,1,3,3
1,62,2,6,0,4,306666.666666667,306666.666666667,1,1,3,0
1,50,6,6,10,13,2e+07,2e+07,1,1,3,2
1,29,2,6,8,5,5590782,5590782,1,1,3,1
2,63,3,6,10,3,3673333.33333333,3673333.33333333,1,1,3,1
1,64,6,6,10,5,15087333.3333333,15087333.3333333,1,1,3,1
1,53,4,1,10,4,1640000,1640000,1,1,2,0
2,49,4,5,10,4,895000,895000,1,1,2,3
1,65,2,5,10,3,1775666.66666667,1775666.66666667,1,1,2,2
1,49,2,6,5,5,7e+05,7e+05,1,1,2,0
2,48,4,1,7,5,4120000,4120000,1,1,2,2
2,39,2,6,10,4,1458116,1458116,1,1,1,3
1,47,1,6,10,3,552500,552500,1,1,1,2
1,25,2,6,10,5,1700000,1700000,1,1,1,1
1,35,2,6,10,5,670000,670000,1,1,1,2
2,61,4,6,10,3,780333.333333333,780333.333333333,1,1,1,2
2,47,2,6,10,4,270000,270000,1,1,1,3
2,48,1,6,2,4,1515000,1515000,1,1,1,2
2,22,2,6,0,4,180000,180000,1,1,1,1
1,28,2,5,1,5,280000,280000,1,1,2,1
1,63,6,5,10,5,1800000,1800000,1,1,2,1
1,35,6,5,10,11,6483333.33333333,6483333.33333333,1,1,2,1
1,35,4,6,10,3,1295833.33333333,1295833.33333333,1,1,2,1
1,27,2,6,10,5,8e+05,8e+05,1,1,3,2
1,27,5,6,9,NA,1200000,1200000,1,1,3,0
2,71,4,6,10,3,3945000,3945000,1,1,3,1
1,47,6,5,9,5,5437500,5437500,1,1,3,2
1,57,6,6,10,5,8488333.33333333,8488333.33333333,1,1,2,1
1,31,2,6,8,9,1095000,1095000,1,1,3,1
2,40,4,6,8,11,2686000,2686000,1,1,3,2
2,29,2,6,7,4,1495000,1495000,1,1,2,2
2,44,4,6,8,7,560000,560000,1,1,2,3
1,64,6,6,5,4,1300000,1300000,1,1,2,0
1,53,2,6,8,7,7383333.33333333,6283333.33333333,1,1,2,2
1,54,1,5,8,5,1125000,1125000,1,1,3,2
1,33,2,6,10,4,2700000,2700000,1,1,1,1
1,29,4,6,8,11,1100000,1100000,1,1,1,0
1,64,3,5,7,3,4e+05,4e+05,1,1,1,0
2,41,4,6,8,10,1500000,1500000,1,1,1,1
1,41,6,5,8,11,1256666.66666667,1256666.66666667,1,1,2,2
2,48,4,1,8,4,520000,520000,1,1,1,2
1,56,2,5,7,3,9e+05,9e+05,1,1,2,0
2,49,2,1,7,3,1200000,1200000,1,1,2,0
1,60,6,5,8,3,4e+05,4e+05,1,1,1,0
2,49,4,6,5,4,8e+05,8e+05,1,1,1,0
1,35,5,6,8,3,4e+05,4e+05,1,1,2,0
2,27,4,5,7,4,84000,84000,1,1,1,3
2,58,2,5,4,1,7e+05,7e+05,1,1,1,0
1,49,2,1,7,5,840000,840000,1,1,1,3
1,62,5,5,7,3,6e+05,6e+05,1,1,1,0
2,26,2,5,8,11,950000,950000,1,1,1,0
1,72,4,6,10,3,3e+05,3e+05,1,1,1,0
1,38,5,5,8,5,1e+06,1e+06,1,1,2,0
2,54,2,6,5,3,390000,390000,1,1,1,0
1,63,6,5,7,5,1600000,1600000,1,1,1,0
2,26,2,6,10,5,146666.666666667,146666.666666667,1,1,1,3
1,27,2,5,7,5,9e+05,9e+05,1,1,1,0
1,27,2,5,7,3,830000,830000,1,1,1,2
1,33,2,5,4,9,1017000,1017000,1,1,1,2
2,33,2,6,5,5,1760000,1760000,1,1,1,2
2,47,4,5,10,11,1100000,1100000,1,1,1,2
2,22,4,1,8,5,27000,27000,1,1,1,2
1,55,2,5,7,11,1041666.66666667,1041666.66666667,1,1,2,1
1,32,2,5,10,11,2588333.33333333,2588333.33333333,1,1,1,3
1,37,2,6,8,10,5e+05,5e+05,1,1,1,2
1,30,6,6,10,6,1300000,1300000,1,1,1,0
2,28,5,5,7,5,0,0,1,1,2,3
2,29,6,6,9,5,822500,822500,1,1,2,2
2,77,4,6,8,3,1415833.33333333,1415833.33333333,1,1,1,1
2,46,4,5,7,5,0,0,1,1,1,2
1,39,6,6,8,5,16366666.6666667,16366666.6666667,1,1,2,3
2,38,1,5,8,9,2307833.33333333,2307833.33333333,1,1,1,1
2,64,3,5,6,1,425000,425000,1,1,1,0
2,63,6,6,8,3,3630000,3630000,1,1,1,2
1,68,6,5,7,1,1250000,1250000,1,1,2,0
2,60,2,5,6,3,2123333.33333333,2123333.33333333,1,1,2,3
2,50,3,5,9,3,3e+05,3e+05,1,1,1,1
2,23,2,6,5,5,502000,502000,1,1,2,2
2,75,4,5,7,3,556666.666666667,556666.666666667,1,1,2,0
2,18,2,6,9,5,950000,950000,1,1,2,1
2,65,4,5,7,3,4e+05,4e+05,1,1,1,1
2,21,1,1,10,NA,1950000,1950000,1,1,2,0
1,58,6,5,7,4,5966666.66666667,5966666.66666667,1,1,1,2
1,59,2,5,7,3,952500,952500,1,1,1,0
2,24,2,6,9,5,8250000,8250000,1,1,1,1
1,32,6,5,7,5,6e+05,6e+05,1,1,1,0
2,55,3,5,3,1,110000,110000,1,1,1,0
1,66,6,5,7,1,9e+05,9e+05,1,1,1,0
1,28,2,6,5,5,403333.333333333,403333.333333333,1,1,1,1
1,50,2,5,7,1,458333.333333333,458333.333333333,1,1,1,1
2,32,2,6,10,5,9e+05,9e+05,1,1,1,2
1,39,4,5,6,4,260000,260000,1,1,1,0
1,43,6,5,7,5,985333.333333333,985333.333333333,1,1,1,2
2,42,6,6,8,3,248750,248750,1,1,1,2
2,37,2,5,7,5,2707500,2707500,1,1,1,1
2,21,2,6,8,5,880000,880000,1,1,1,0
1,52,6,6,5,4,2e+05,2e+05,1,1,1,1
2,59,4,6,10,3,463500,463500,1,1,1,0
2,65,4,6,6,3,3e+05,3e+05,1,1,1,0
1,57,2,6,10,3,593333.333333333,593333.333333333,1,1,1,2
1,64,2,5,7,3,1907500,1907500,1,1,1,1
1,19,2,1,7,5,1826666.66666667,1826666.66666667,1,1,1,0
1,86,2,6,10,3,1084166.66666667,1084166.66666667,1,1,1,1
1,57,2,5,7,3,1681000,1681000,1,1,1,4
2,71,3,6,10,3,505000,505000,1,1,1,1
2,30,2,1,10,11,2643333.33333333,2643333.33333333,1,1,1,2
2,41,4,6,8,4,0,0,1,1,1,0
1,63,2,5,7,3,272500,272500,1,1,1,2
1,73,2,1,5,1,395000,395000,1,1,1,0
2,45,2,6,8,4,4e+05,4e+05,1,1,1,0
1,26,2,5,8,3,1700000,1700000,1,1,1,2
1,85,6,1,5,3,201666.666666667,201666.666666667,1,1,1,0
1,30,5,6,8,3,1050000,1050000,1,1,1,0
